date,t2m_daily_mean_C
2023-01-01,2.3450038
2023-01-02,0.9634285
2023-01-03,-0.8143921
2023-01-04,-3.1006863
2023-01-05,-0.16355896
2023-01-06,-5.172972
2023-01-07,-6.166771
2023-01-08,-2.8974533
2023-01-09,-4.107054
2023-01-10,-7.1946907
2023-01-11,-4.2962317
2023-01-12,-4.873202
2023-01-13,-3.6815364
2023-01-14,-6.1719117
2023-01-15,-3.6479263
2023-01-16,-10.122765
2023-01-17,-10.736217
2023-01-18,-11.468871
2023-01-19,-13.414775
2023-01-20,-15.983966
2023-01-21,-13.0630045
2023-01-22,-12.541457
2023-01-23,-12.526376
2023-01-24,-11.315589
2023-01-25,-11.446938
2023-01-26,-11.445193
2023-01-27,-11.9229555
2023-01-28,-11.74567
2023-01-29,-11.06112
2023-01-30,-9.075391
2023-01-31,-6.3895593
2023-02-01,-6.9125824
2023-02-02,-5.9656157
2023-02-03,-4.276634
2023-02-04,-3.7977257
2023-02-05,-6.8799324
2023-02-06,-8.336353
2023-02-07,-10.740391
2023-02-08,-13.594663
2023-02-09,-12.938427
2023-02-10,-10.890759
2023-02-11,-6.5263495
2023-02-12,-4.1515694
2023-02-13,-3.9256248
2023-02-14,-3.941419
2023-02-15,-3.1270893
2023-02-16,-2.9923248
2023-02-17,-0.3629837
2023-02-18,0.9689255
2023-02-19,-1.1393725
2023-02-20,-0.12717438
2023-02-21,-1.0740954
2023-02-22,-1.3055521
2023-02-23,-1.3794632
2023-02-24,-1.0465202
2023-02-25,-3.5537567
2023-02-26,-10.634708
2023-02-27,-8.631133
2023-02-28,-7.022573
2023-03-01,-7.303013
2023-03-02,-4.1701217
2023-03-03,-5.016214
2023-03-04,-4.183519
2023-03-05,-6.169693
2023-03-06,-7.824327
2023-03-07,-4.901834
2023-03-08,-2.7353935
2023-03-09,0.36203003
2023-03-10,-1.2158598
2023-03-11,-3.430519
2023-03-12,-2.3374672
2023-03-13,1.321153
2023-03-14,-0.67123157
2023-03-15,-7.566265
2023-03-16,-7.1093554
2023-03-17,-1.200854
2023-03-18,-0.11982473
2023-03-19,1.0305876
2023-03-20,0.052204132
2023-03-21,0.3307953
2023-03-22,2.6719856
2023-03-23,4.4161468
