date,t2m_daily_mean_C
2023-01-01,11.776645
2023-01-02,8.560271
2023-01-03,5.935282
2023-01-04,11.3204565
2023-01-05,10.338069
2023-01-06,10.215293
2023-01-07,10.421201
2023-01-08,8.202156
2023-01-09,6.7382417
2023-01-10,7.069795
2023-01-11,9.772942
2023-01-12,10.3869705
2023-01-13,8.650088
2023-01-14,8.158492
2023-01-15,6.1666894
2023-01-16,4.041786
2023-01-17,1.6238098
2023-01-18,1.9153252
2023-01-19,2.9418323
2023-01-20,0.96867114
2023-01-21,-0.5995445
2023-01-22,1.0273094
2023-01-23,2.7847404
2023-01-24,1.9513384
2023-01-25,0.08707937
2023-01-26,4.399452
2023-01-27,4.0592217
2023-01-28,2.8305829
2023-01-29,3.919674
2023-01-30,6.68706
2023-01-31,6.3529534
2023-02-01,7.2785797
2023-02-02,8.366172
2023-02-03,8.863666
2023-02-04,7.191532
2023-02-05,6.43566
2023-02-06,3.356762
2023-02-07,0.42228827
2023-02-08,0.6664047
2023-02-09,2.0393562
2023-02-10,3.9439557
2023-02-11,7.467954
2023-02-12,7.19096
2023-02-13,6.561924
2023-02-14,4.3887405
2023-02-15,4.6245384
2023-02-16,8.075383
2023-02-17,10.267387
2023-02-18,10.139173
2023-02-19,7.6158357
2023-02-20,8.2510805
2023-02-21,8.336468
2023-02-22,7.170359
2023-02-23,6.57472
2023-02-24,4.8651824
2023-02-25,4.2307487
2023-02-26,2.595028
2023-02-27,2.3960483
2023-02-28,2.2437847
2023-03-01,1.4307925
2023-03-02,2.789758
2023-03-03,4.2575493
2023-03-04,5.9899025
2023-03-05,3.8130543
2023-03-06,3.819065
2023-03-07,2.5827854
2023-03-08,0.5969632
2023-03-09,1.3463236
2023-03-10,1.3618584
2023-03-11,2.006981
2023-03-12,6.3551598
2023-03-13,12.375678
2023-03-14,6.6922936
2023-03-15,4.652729
2023-03-16,8.358906
2023-03-17,11.570468
2023-03-18,11.421516
2023-03-19,9.267404
2023-03-20,8.215778
2023-03-21,10.318425
2023-03-22,10.563912
2023-03-23,12.315479
2023-03-24,10.909828
2023-03-25,9.225178
2023-03-26,6.6984572
2023-03-27,4.4434524
2023-03-28,4.315478
2023-03-29,10.343159
2023-03-30,12.547195
2023-03-31,10.523876
2023-04-01,9.206616
2023-04-02,5.4634323
2023-04-03,4.450939
2023-04-04,4.7667594
2023-04-05,5.4012504
2023-04-06,6.7273498
2023-04-07,8.423103
2023-04-08,8.612462
2023-04-09,10.351085
2023-04-10,10.61794
2023-04-11,9.707835
2023-04-12,8.835612
2023-04-13,8.238942
2023-04-14,8.995891
2023-04-15,8.830159
2023-04-16,8.736491
2023-04-17,9.976583
2023-04-18,9.223369
2023-04-19,10.432698
2023-04-20,8.231387
2023-04-21,10.892757
2023-04-22,9.037201
2023-04-23,11.200084
2023-04-24,8.5977125
2023-04-25,6.443723
2023-04-26,5.663157
2023-04-27,7.822622
2023-04-28,9.674561
2023-04-29,10.573071
2023-04-30,10.929047
2023-05-01,11.958812
2023-05-02,9.266988
2023-05-03,8.863423
2023-05-04,13.918233
2023-05-05,13.935547
2023-05-06,14.495097
2023-05-07,15.629913
2023-05-08,14.657796
2023-05-09,13.708923
2023-05-10,12.823242
2023-05-11,13.339101
2023-05-12,15.533173
2023-05-13,15.947479
2023-05-14,13.5503845
2023-05-15,10.818507
2023-05-16,10.364369
2023-05-17,10.366475
2023-05-18,9.670715
2023-05-19,13.031087
2023-05-20,15.140605
2023-05-21,15.997823
2023-05-22,16.604025
2023-05-23,12.369568
2023-05-24,11.624166
2023-05-25,12.140737
2023-05-26,12.246562
2023-05-27,14.012299
2023-05-28,15.397034
2023-05-29,12.580688
2023-05-30,12.74706
2023-05-31,15.237142
2023-06-01,12.481313
2023-06-02,13.940308
2023-06-03,16.336456
2023-06-04,15.289673
2023-06-05,14.07722
2023-06-06,15.008606
2023-06-07,15.119853
2023-06-08,16.926208
2023-06-09,20.996704
2023-06-10,23.082113
2023-06-11,24.236826
2023-06-12,23.9811
2023-06-13,21.98942
2023-06-14,20.495514
2023-06-15,19.978058
2023-06-16,19.2559
2023-06-17,19.553518
2023-06-18,21.222818
