day,t2m_C
2023-01-01,11.622742
2023-01-02,8.838623
2023-01-03,6.3168335
2023-01-04,11.917358
2023-01-05,10.334808
2023-01-06,9.989441
2023-01-07,10.516357
2023-01-08,8.231842
2023-01-09,7.1330566
2023-01-10,6.3199463
2023-01-11,9.582336
2023-01-12,10.915894
2023-01-13,8.853394
2023-01-14,8.811768
2023-01-15,6.4389343
2023-01-16,4.436798
2023-01-17,2.5144958
2023-01-18,2.5627136
2023-01-19,3.7886658
2023-01-20,1.4150391
2023-01-21,0.0473938
2023-01-22,1.2000732
2023-01-23,2.9205933
2023-01-24,1.8987122
2023-01-25,-0.04434204
2023-01-26,5.795471
2023-01-27,4.2420044
2023-01-28,3.4135742
2023-01-29,4.074463
2023-01-30,7.3601685
2023-01-31,7.4295654
2023-02-01,7.484375
2023-02-02,8.446014
2023-02-03,9.329651
2023-02-04,7.70874
2023-02-05,7.162506
2023-02-06,5.1694946
2023-02-07,1.7762451
2023-02-08,2.552826
2023-02-09,3.2618103
2023-02-10,4.5474854
2023-02-11,8.244415
2023-02-12,7.826233
2023-02-13,8.235901
2023-02-14,7.096222
2023-02-15,6.2490845
2023-02-16,8.477722
2023-02-17,10.988037
2023-02-18,10.590332
2023-02-19,7.99881
2023-02-20,8.616943
2023-02-21,8.432892
2023-02-22,7.3649597
2023-02-23,7.728821
2023-02-24,6.051178
2023-02-25,5.470276
2023-02-26,3.7649536
2023-02-27,4.0783997
2023-02-28,3.8155823
2023-03-01,3.4945374
2023-03-02,4.0279236
2023-03-03,5.2026367
2023-03-04,6.6760864
2023-03-05,4.7090454
2023-03-06,4.529846
2023-03-07,3.0687256
2023-03-08,1.3081055
2023-03-09,1.6784363
2023-03-10,1.3417664
2023-03-11,3.6078796
2023-03-12,7.1053467
2023-03-13,13.910889
2023-03-14,6.587799
2023-03-15,5.963379
2023-03-16,9.426819
2023-03-17,12.897034
2023-03-18,12.83197
2023-03-19,10.032288
2023-03-20,8.2716675
2023-03-21,11.035889
2023-03-22,10.633484
2023-03-23,12.700195
2023-03-24,11.29303
2023-03-25,9.925507
2023-03-26,7.591797
2023-03-27,5.7895813
2023-03-28,5.6207275
2023-03-29,11.13562
2023-03-30,13.069458
2023-03-31,11.012207
2023-04-01,10.059601
2023-04-02,6.1838684
2023-04-03,6.637665
2023-04-04,7.132263
2023-04-05,8.227417
2023-04-06,7.4836426
2023-04-07,8.957947
2023-04-08,10.011322
2023-04-09,11.796875
2023-04-10,12.130157
2023-04-11,10.542603
2023-04-12,9.891968
2023-04-13,9.771484
2023-04-14,11.429199
2023-04-15,10.258423
2023-04-16,9.189728
2023-04-17,11.599731
2023-04-18,10.555786
2023-04-19,12.166321
2023-04-20,8.827972
2023-04-21,12.745758
2023-04-22,11.17688
2023-04-23,13.413635
2023-04-24,9.045593
2023-04-25,8.033264
2023-04-26,7.990967
2023-04-27,10.143646
2023-04-28,10.8532715
2023-04-29,12.673553
2023-04-30,13.545715
2023-05-01,14.273102
2023-05-02,10.395081
2023-05-03,11.292694
2023-05-04,16.236725
2023-05-05,15.328369
2023-05-06,17.04309
2023-05-07,17.459839
2023-05-08,16.383087
2023-05-09,14.29007
2023-05-10,13.901367
2023-05-11,14.271332
2023-05-12,17.521637
2023-05-13,18.661072
2023-05-14,16.04425
2023-05-15,12.29068
2023-05-16,12.286804
2023-05-17,12.477509
2023-05-18,11.546143
2023-05-19,15.744812
2023-05-20,17.295258
2023-05-21,17.751038
2023-05-22,19.18451
2023-05-23,13.547913
2023-05-24,14.30188
2023-05-25,14.986755
2023-05-26,14.783936
2023-05-27,16.687378
2023-05-28,18.5047
2023-05-29,14.494202
2023-05-30,14.022888
2023-05-31,18.701294
2023-06-01,13.734192
2023-06-02,15.286865
2023-06-03,19.102234
2023-06-04,18.547852
2023-06-05,16.618042
2023-06-06,17.789093
2023-06-07,17.505768
2023-06-08,19.614868
2023-06-09,24.042603
2023-06-10,26.006897
2023-06-11,27.366272
2023-06-12,27.037292
2023-06-13,24.935547
2023-06-14,23.206818
2023-06-15,23.387695
2023-06-16,23.248291
2023-06-17,23.042847
2023-06-18,22.894714
2023-06-19,21.4628
2023-06-20,24.860748
2023-06-21,21.991028
2023-06-22,21.059021
2023-06-23,22.48938
2023-06-24,24.04303
2023-06-25,27.831055
2023-06-26,20.210144
2023-06-27,19.790924
2023-06-28,19.625
