day,t2m_C
2023-01-01,11.930542
2023-01-02,8.281921
2023-01-03,5.553711
2023-01-04,10.723541
2023-01-05,10.341309
2023-01-06,10.441162
2023-01-07,10.32605
2023-01-08,8.172485
2023-01-09,6.343445
2023-01-10,7.819641
2023-01-11,9.9635315
2023-01-12,9.858032
2023-01-13,8.446777
2023-01-14,7.505249
2023-01-15,5.8944397
2023-01-16,3.6467896
2023-01-17,0.7331238
2023-01-18,1.2679443
2023-01-19,2.0950012
2023-01-20,0.52230835
2023-01-21,-1.24646
2023-01-22,0.8545227
2023-01-23,2.6488647
2023-01-24,2.0039673
2023-01-25,0.21850586
2023-01-26,3.0034485
2023-01-27,3.8764343
2023-01-28,2.247589
2023-01-29,3.7648926
2023-01-30,6.0139465
2023-01-31,5.276367
2023-02-01,7.0727844
2023-02-02,8.286316
2023-02-03,8.397705
2023-02-04,6.674347
2023-02-05,5.7088013
2023-02-06,1.5440369
2023-02-07,-0.9316406
2023-02-08,-1.2200317
2023-02-09,0.81689453
2023-02-10,3.3404236
2023-02-11,6.691498
2023-02-12,6.555664
2023-02-13,4.8879395
2023-02-14,1.6812744
2023-02-15,3.0
2023-02-16,7.6730347
2023-02-17,9.546753
2023-02-18,9.688019
2023-02-19,7.232849
2023-02-20,7.8852234
2023-02-21,8.240051
2023-02-22,6.975769
2023-02-23,5.420624
2023-02-24,3.6791687
2023-02-25,2.991211
2023-02-26,1.4251099
2023-02-27,0.7136841
2023-02-28,0.6719971
2023-03-01,-0.6329651
2023-03-02,1.5515747
2023-03-03,3.3124695
2023-03-04,5.303711
2023-03-05,2.9170532
2023-03-06,3.1082764
2023-03-07,2.0968628
2023-03-08,-0.11416626
2023-03-09,1.0142212
2023-03-10,1.381958
2023-03-11,0.4060974
2023-03-12,5.60495
2023-03-13,10.840485
2023-03-14,6.796814
2023-03-15,3.3420715
2023-03-16,7.290985
2023-03-17,10.2438965
2023-03-18,10.011047
2023-03-19,8.502533
2023-03-20,8.159912
2023-03-21,9.600952
2023-03-22,10.494354
2023-03-23,11.930786
2023-03-24,10.526611
2023-03-25,8.524841
2023-03-26,5.8051147
2023-03-27,3.0973206
2023-03-28,3.0101929
2023-03-29,9.55072
2023-03-30,12.024933
2023-03-31,10.035522
2023-04-01,8.353638
2023-04-02,4.742981
2023-04-03,2.2642212
2023-04-04,2.401245
2023-04-05,2.5751038
2023-04-06,5.9710693
2023-04-07,7.888275
2023-04-08,7.213623
2023-04-09,8.905304
2023-04-10,9.105713
2023-04-11,8.873047
2023-04-12,7.779236
2023-04-13,6.7063904
2023-04-14,6.5625916
2023-04-15,7.401886
2023-04-16,8.283264
2023-04-17,8.353424
2023-04-18,7.8909607
2023-04-19,8.699066
2023-04-20,7.634796
2023-04-21,9.039764
