date,t2m_daily_mean_C
2023-01-01,14.742139
2023-01-02,13.723031
2023-01-03,14.967998
2023-01-04,15.112449
2023-01-05,14.53745
2023-01-06,14.726686
2023-01-07,15.478004
2023-01-08,15.667407
2023-01-09,14.458863
2023-01-10,15.879447
2023-01-11,14.53938
2023-01-12,13.867276
2023-01-13,15.5357485
2023-01-14,15.22026
2023-01-15,12.87193
2023-01-16,14.670611
2023-01-17,12.319122
2023-01-18,11.381715
2023-01-19,13.759622
2023-01-20,14.696292
2023-01-21,14.327457
2023-01-22,12.920864
2023-01-23,12.578523
2023-01-24,11.77279
2023-01-25,11.921063
2023-01-26,12.220253
2023-01-27,12.1360445
2023-01-28,11.34401
2023-01-29,11.214189
2023-01-30,11.347461
2023-01-31,11.831632
2023-02-01,12.620051
2023-02-02,12.843792
2023-02-03,13.509254
2023-02-04,13.7546015
2023-02-05,13.611523
2023-02-06,13.342602
2023-02-07,12.484138
2023-02-08,12.35537
2023-02-09,13.959034
2023-02-10,13.544541
2023-02-11,13.120053
2023-02-12,13.616497
2023-02-13,14.40958
2023-02-14,14.354073
2023-02-15,14.534206
2023-02-16,14.287949
2023-02-17,14.82883
2023-02-18,14.798271
2023-02-19,14.551627
2023-02-20,14.634952
2023-02-21,13.598512
2023-02-22,12.877879
2023-02-23,10.523694
2023-02-24,10.245553
2023-02-25,10.650508
2023-02-26,12.088517
2023-02-27,11.453177
2023-02-28,10.727916
2023-03-01,10.274461
2023-03-02,10.813277
2023-03-03,11.067771
2023-03-04,12.200677
2023-03-05,13.216456
2023-03-06,14.240859
2023-03-07,14.454286
2023-03-08,15.3566475
2023-03-09,15.102101
2023-03-10,14.974407
2023-03-11,15.318667
2023-03-12,15.162533
2023-03-13,14.969346
2023-03-14,14.25813
2023-03-15,13.521056
2023-03-16,14.506936
2023-03-17,13.87662
2023-03-18,14.181933
2023-03-19,13.683745
2023-03-20,13.722126
2023-03-21,13.806706
2023-03-22,14.142608
2023-03-23,15.221485
2023-03-24,14.491371
2023-03-25,14.930663
2023-03-26,13.8074255
2023-03-27,14.310151
2023-03-28,15.6542635
2023-03-29,16.453999
2023-03-30,15.85587
2023-03-31,15.1858225
2023-04-01,14.929517
2023-04-02,13.300835
2023-04-03,14.191499
2023-04-04,14.823644
2023-04-05,14.960495
2023-04-06,15.168919
2023-04-07,15.413338
2023-04-08,14.719478
2023-04-09,14.924571
2023-04-10,15.327983
2023-04-11,14.975983
2023-04-12,14.16748
2023-04-13,14.288585
2023-04-14,15.314494
2023-04-15,15.217122
2023-04-16,15.7977705
2023-04-17,16.82424
2023-04-18,16.41282
2023-04-19,15.084473
2023-04-20,14.658389
2023-04-21,15.268734
2023-04-22,16.04957
2023-04-23,16.376108
2023-04-24,15.763321
2023-04-25,16.142534
2023-04-26,16.31314
2023-04-27,16.466095
2023-04-28,17.023193
2023-04-29,16.64786
2023-04-30,16.078379
2023-05-01,16.402658
2023-05-02,17.38743
2023-05-03,17.314758
2023-05-04,17.292175
2023-05-05,17.321615
2023-05-06,17.32778
2023-05-07,16.454782
2023-05-08,17.519043
2023-05-09,16.973328
2023-05-10,15.958984
2023-05-11,15.900624
2023-05-12,15.539276
2023-05-13,15.588918
2023-05-14,15.765391
2023-05-15,15.73672
2023-05-16,15.665639
2023-05-17,17.148703
2023-05-18,16.672018
2023-05-19,15.832356
2023-05-20,16.034647
2023-05-21,15.878032
2023-05-22,16.393656
2023-05-23,17.045675
2023-05-24,18.00413
2023-05-25,17.576284
2023-05-26,16.595194
2023-05-27,17.360037
2023-05-28,17.045471
2023-05-29,17.377075
2023-05-30,17.301504
2023-05-31,17.624186
2023-06-01,17.179962
2023-06-02,17.633993
2023-06-03,17.468536
2023-06-04,17.567587
2023-06-05,17.98583
2023-06-06,18.687073
2023-06-07,19.396057
2023-06-08,18.962341
2023-06-09,18.807413
2023-06-10,18.88086
2023-06-11,19.13144
2023-06-12,18.599508
2023-06-13,18.375082
2023-06-14,18.442453
2023-06-15,19.288198
2023-06-16,19.503296
2023-06-17,19.191864
2023-06-18,19.781412
2023-06-19,19.252817
2023-06-20,19.286346
2023-06-21,19.406433
2023-06-22,19.74122
2023-06-23,20.13732
2023-06-24,20.268026
2023-06-25,20.144522
2023-06-26,19.924234
2023-06-27,19.798635
2023-06-28,19.653992
2023-06-29,19.252838
2023-06-30,18.777628
2023-07-01,19.020721
2023-07-02,19.284647
2023-07-03,19.132385
2023-07-04,19.180298
2023-07-05,19.222137
2023-07-06,19.156992
2023-07-07,19.783651
2023-07-08,19.797709
2023-07-09,19.873962
2023-07-10,19.951944
2023-07-11,20.265055
2023-07-12,19.75654
2023-07-13,19.847778
2023-07-14,20.865946
2023-07-15,19.661448
2023-07-16,19.309317
2023-07-17,19.412079
2023-07-18,19.87384
2023-07-19,19.547129
2023-07-20,19.910013
2023-07-21,19.784384
2023-07-22,19.385101
2023-07-23,19.983765
2023-07-24,19.774637
2023-07-25,19.304636
2023-07-26,19.627542
2023-07-27,20.107788
2023-07-28,20.771921
2023-07-29,20.478994
2023-07-30,19.715494
2023-07-31,20.770884
2023-08-01,21.342468
2023-08-02,20.992554
2023-08-03,19.862234
2023-08-04,19.252726
2023-08-05,19.642324
2023-08-06,19.850739
2023-08-07,20.418661
2023-08-08,20.625254
2023-08-09,20.531586
2023-08-10,20.913452
2023-08-11,21.424204
2023-08-12,20.339325
2023-08-13,20.113626
2023-08-14,20.685303
2023-08-15,19.92214
2023-08-16,20.304108
2023-08-17,20.46351
2023-08-18,21.357351
2023-08-19,20.803375
2023-08-20,20.647888
2023-08-21,20.948069
2023-08-22,21.392374
2023-08-23,21.579285
2023-08-24,21.264923
2023-08-25,20.498606
2023-08-26,19.741028
2023-08-27,19.604767
2023-08-28,20.06723
2023-08-29,19.92158
2023-08-30,19.764984
2023-08-31,20.094004
2023-09-01,20.291697
2023-09-02,19.749329
2023-09-03,20.116852
2023-09-04,19.238028
2023-09-05,20.490133
2023-09-06,20.459036
2023-09-07,20.865488
2023-09-08,20.573587
2023-09-09,20.246927
2023-09-10,20.576925
2023-09-11,20.494263
2023-09-12,20.515188
2023-09-13,21.081573
2023-09-14,21.03597
2023-09-15,20.544443
2023-09-16,20.141287
2023-09-17,19.057821
2023-09-18,19.621521
2023-09-19,19.752085
2023-09-20,20.560038
2023-09-21,19.374441
2023-09-22,19.459686
2023-09-23,19.44982
2023-09-24,19.852936
2023-09-25,20.569305
2023-09-26,19.827047
2023-09-27,20.727936
2023-09-28,21.411886
2023-09-29,21.518717
2023-09-30,21.964853
2023-10-01,21.680185
2023-10-02,21.120523
2023-10-03,20.684366
2023-10-04,20.292664
2023-10-05,19.974579
2023-10-06,20.746634
2023-10-07,22.022888
2023-10-08,21.604605
2023-10-09,22.042725
2023-10-10,21.96991
2023-10-11,21.861582
2023-10-12,22.058481
2023-10-13,21.6224
2023-10-14,19.661625
2023-10-15,20.381124
2023-10-16,21.372025
2023-10-17,20.998213
2023-10-18,20.42814
2023-10-19,18.702242
2023-10-20,17.591988
2023-10-21,16.802532
2023-10-22,16.68432
2023-10-23,16.576918
2023-10-24,19.325068
2023-10-25,20.087988
2023-10-26,18.88276
2023-10-27,17.604532
2023-10-28,18.172926
2023-10-29,16.88727
2023-10-30,17.024952
2023-10-31,18.501583
2023-11-01,18.60103
2023-11-02,16.503681
2023-11-03,16.82165
2023-11-04,17.657766
2023-11-05,15.523308
2023-11-06,14.848149
2023-11-07,15.653945
2023-11-08,17.454836
2023-11-09,16.508707
2023-11-10,17.670656
2023-11-11,18.464968
2023-11-12,18.623653
2023-11-13,18.643042
2023-11-14,18.536613
2023-11-15,17.987843
2023-11-16,17.703661
2023-11-17,17.07908
2023-11-18,17.610216
2023-11-19,16.815035
2023-11-20,16.276747
2023-11-21,15.285694
2023-11-22,15.425878
2023-11-23,16.040648
2023-11-24,16.176592
2023-11-25,15.503563
2023-11-26,15.903323
2023-11-27,16.290648
2023-11-28,16.95747
2023-11-29,17.01039
2023-11-30,13.906928
2023-12-01,13.20501
2023-12-02,12.758227
2023-12-03,15.913357
2023-12-04,14.8555565
2023-12-05,13.36441
2023-12-06,14.698192
2023-12-07,17.262316
2023-12-08,16.284775
2023-12-09,17.577961
2023-12-10,17.3882
2023-12-11,17.171312
2023-12-12,16.092344
2023-12-13,14.538021
2023-12-14,14.281326
2023-12-15,15.2451515
2023-12-16,14.850127
2023-12-17,14.420442
2023-12-18,12.957562
2023-12-19,13.114998
2023-12-20,14.577976
2023-12-21,14.576202
