date,t2m_daily_mean_C
2023-01-01,12.48156
2023-01-02,11.699594
2023-01-03,8.003316
2023-01-04,6.09487
2023-01-05,6.6214347
2023-01-06,3.7968357
2023-01-07,5.463356
2023-01-08,9.510669
2023-01-09,8.980918
2023-01-10,6.3299675
2023-01-11,6.8868737
2023-01-12,5.8986077
2023-01-13,6.9251533
2023-01-14,6.7414184
2023-01-15,5.4651923
2023-01-16,5.788775
2023-01-17,7.6367493
2023-01-18,4.2007256
2023-01-19,5.3513374
2023-01-20,5.6076684
2023-01-21,3.6359699
2023-01-22,3.1902325
2023-01-23,2.4077873
2023-01-24,2.175134
2023-01-25,2.7401555
2023-01-26,5.5666885
2023-01-27,4.118304
2023-01-28,3.5779788
2023-01-29,2.923092
2023-01-30,2.8249996
2023-01-31,6.2142005
2023-02-01,7.225113
2023-02-02,5.2129326
2023-02-03,5.456032
2023-02-04,6.6497025
2023-02-05,7.795442
2023-02-06,6.6032624
2023-02-07,3.0178287
2023-02-08,6.0199203
2023-02-09,5.11447
2023-02-10,2.7149518
2023-02-11,3.5588558
2023-02-12,4.625693
2023-02-13,6.1108336
2023-02-14,8.164538
2023-02-15,8.892686
2023-02-16,7.1079354
2023-02-17,7.3869348
2023-02-18,7.925875
2023-02-19,9.475944
2023-02-20,11.838646
2023-02-21,12.86251
2023-02-22,10.899526
2023-02-23,5.0615363
2023-02-24,4.883493
2023-02-25,4.693802
2023-02-26,5.51202
2023-02-27,1.3923048
2023-02-28,3.0584004
2023-03-01,3.0572574
2023-03-02,4.914026
2023-03-03,5.946026
2023-03-04,5.9762306
2023-03-05,6.0307465
2023-03-06,9.03513
2023-03-07,10.882508
2023-03-08,14.774047
2023-03-09,14.890513
2023-03-10,15.255901
2023-03-11,16.538069
2023-03-12,17.309343
2023-03-13,18.28323
2023-03-14,12.51106
2023-03-15,12.152729
2023-03-16,15.801533
2023-03-17,15.024814
2023-03-18,13.216601
2023-03-19,12.302235
2023-03-20,12.458617
2023-03-21,13.423976
2023-03-22,15.252471
2023-03-23,19.177866
2023-03-24,16.455076
2023-03-25,14.586506
2023-03-26,15.134004
2023-03-27,11.708915
2023-03-28,13.181689
2023-03-29,18.625792
2023-03-30,18.865229
2023-03-31,17.411327
2023-04-01,11.934319
2023-04-02,9.9655485
2023-04-03,11.427909
2023-04-04,10.860347
2023-04-05,11.124639
2023-04-06,13.429091
2023-04-07,14.021167
2023-04-08,16.045404
2023-04-09,17.062998
2023-04-10,17.286722
2023-04-11,17.868073
2023-04-12,11.669597
2023-04-13,10.242523
2023-04-14,13.131958
2023-04-15,12.745198
2023-04-16,12.567139
2023-04-17,13.533223
2023-04-18,14.06663
2023-04-19,16.947348
2023-04-20,17.998964
2023-04-21,18.953386
2023-04-22,15.780528
2023-04-23,15.219777
2023-04-24,16.15647
2023-04-25,18.197792
2023-04-26,19.914215
2023-04-27,21.393423
2023-04-28,22.62736
2023-04-29,18.660555
2023-04-30,16.590994
2023-05-01,16.598623
2023-05-02,18.222067
2023-05-03,21.766663
2023-05-04,22.284363
2023-05-05,21.298502
2023-05-06,20.729553
2023-05-07,18.51354
2023-05-08,18.410645
2023-05-09,16.72528
2023-05-10,14.604085
2023-05-11,13.17984
2023-05-12,12.6209
2023-05-13,13.994679
2023-05-14,14.740733
2023-05-15,14.359767
2023-05-16,13.759796
2023-05-17,14.66042
2023-05-18,14.377991
2023-05-19,14.828206
2023-05-20,14.950256
2023-05-21,17.177185
2023-05-22,17.862
2023-05-23,18.195822
2023-05-24,18.422262
2023-05-25,16.656769
2023-05-26,18.351624
2023-05-27,22.019785
2023-05-28,20.917053
2023-05-29,20.878134
2023-05-30,20.17756
2023-05-31,19.97933
2023-06-01,17.817087
2023-06-02,20.46936
2023-06-03,19.202017
2023-06-04,20.287964
2023-06-05,21.139639
2023-06-06,22.700012
2023-06-07,22.470358
2023-06-08,21.936136
2023-06-09,22.161987
2023-06-10,23.535807
2023-06-11,21.128103
2023-06-12,20.240295
2023-06-13,19.502523
2023-06-14,20.892405
2023-06-15,22.262888
2023-06-16,24.440145
2023-06-17,24.41688
2023-06-18,22.473715
2023-06-19,21.222708
