date,t2m_daily_mean_C
2023-01-01,6.7270026
2023-01-02,2.9065437
2023-01-03,2.047343
2023-01-04,4.68154
2023-01-05,4.5538077
2023-01-06,4.0187593
2023-01-07,1.9666926
2023-01-08,2.38046
2023-01-09,4.342327
2023-01-10,6.1654983
2023-01-11,5.5200934
2023-01-12,3.9796627
2023-01-13,4.276634
2023-01-14,2.8561642
2023-01-15,1.935407
2023-01-16,1.8307673
2023-01-17,5.387563
2023-01-18,7.8186455
2023-01-19,8.153909
2023-01-20,6.0316596
2023-01-21,2.4612465
2023-01-22,5.641893
2023-01-23,5.422354
2023-01-24,1.513513
2023-01-25,-0.64395905
2023-01-26,-0.48653412
2023-01-27,0.74688464
2023-01-28,0.59490585
2023-01-29,-0.99691135
2023-01-30,-2.0695317
2023-01-31,-0.44148
2023-02-01,0.64999896
2023-02-02,1.6253675
2023-02-03,1.1939875
2023-02-04,-0.13382594
2023-02-05,-3.5281258
2023-02-06,-4.112802
2023-02-07,-4.0607033
2023-02-08,-3.2881038
2023-02-09,-5.354931
2023-02-10,-5.9450417
2023-02-11,-4.9777656
2023-02-12,-0.9306221
2023-02-13,-1.2648989
2023-02-14,2.0736363
2023-02-15,0.5418561
2023-02-16,-0.2371165
2023-02-17,1.4191614
2023-02-18,7.194349
2023-02-19,8.209992
2023-02-20,3.595319
2023-02-21,9.132203
2023-02-22,6.0449524
2023-02-23,4.307467
2023-02-24,4.252959
2023-02-25,4.9728546
2023-02-26,1.4054934
2023-02-27,0.7880567
2023-02-28,2.634735
2023-03-01,5.1152816
2023-03-02,5.4246864
2023-03-03,5.220684
2023-03-04,3.987624
2023-03-05,2.0506847
2023-03-06,3.0868874
2023-03-07,3.891135
2023-03-08,6.2532134
2023-03-09,8.874806
2023-03-10,8.858766
2023-03-11,6.347313
2023-03-12,1.4653486
2023-03-13,2.625515
2023-03-14,8.0696535
2023-03-15,6.949034
2023-03-16,2.9157093
2023-03-17,3.0375087
2023-03-18,3.8158848
2023-03-19,5.9485564
2023-03-20,8.576374
2023-03-21,10.385727
2023-03-22,9.291045
2023-03-23,9.9721365
