date,t2m_daily_mean_C
2023-01-01,9.900586
2023-01-02,5.496225
2023-01-03,8.144104
2023-01-04,11.974183
2023-01-05,10.803889
2023-01-06,9.484498
2023-01-07,10.018939
2023-01-08,7.154142
2023-01-09,6.1274834
2023-01-10,8.544242
2023-01-11,8.506259
2023-01-12,10.302173
2023-01-13,7.7987695
2023-01-14,8.631962
2023-01-15,4.922956
2023-01-16,2.2335994
2023-01-17,-2.087616
2023-01-18,0.38903937
2023-01-19,0.4254748
2023-01-20,2.3952663
2023-01-21,0.64036435
2023-01-22,-1.6601906
2023-01-23,-0.75188065
2023-01-24,1.5693398
2023-01-25,1.4096705
2023-01-26,4.8804092
2023-01-27,4.5461197
2023-01-28,3.550228
2023-01-29,5.624264
2023-01-30,6.4916663
2023-01-31,6.851977
2023-02-01,6.942805
2023-02-02,8.422405
2023-02-03,9.699277
2023-02-04,7.918013
2023-02-05,4.8254714
2023-02-06,2.9885979
2023-02-07,1.6119856
2023-02-08,0.6673813
2023-02-09,3.0155933
2023-02-10,3.3407657
2023-02-11,8.13934
2023-02-12,7.2754326
2023-02-13,6.16902
2023-02-14,4.8213577
2023-02-15,7.0999618
2023-02-16,9.493678
2023-02-17,11.520398
2023-02-18,11.0800905
2023-02-19,9.069367
2023-02-20,8.792992
2023-02-21,7.549196
2023-02-22,6.597524
2023-02-23,5.415052
2023-02-24,4.211374
2023-02-25,4.1969757
2023-02-26,3.4562747
2023-02-27,3.410371
2023-02-28,4.1562195
2023-03-01,4.9117494
2023-03-02,4.31344
2023-03-03,4.6319795
2023-03-04,4.972162
2023-03-05,3.5038097
2023-03-06,4.659967
2023-03-07,2.8283093
2023-03-08,1.2709541
2023-03-09,5.630178
2023-03-10,3.6822522
2023-03-11,2.5989406
2023-03-12,9.5639
2023-03-13,11.686631
2023-03-14,6.0197678
2023-03-15,4.287983
2023-03-16,10.426126
2023-03-17,11.016106
2023-03-18,10.206265
2023-03-19,8.094227
2023-03-20,9.47766
2023-03-21,10.602199
2023-03-22,11.180775
2023-03-23,10.596241
2023-03-24,9.732338
2023-03-25,10.079263
2023-03-26,7.3927116
2023-03-27,5.753836
2023-03-28,6.742073
2023-03-29,11.094949
2023-03-30,12.051671
2023-03-31,10.567496
2023-04-01,8.867099
2023-04-02,7.270887
2023-04-03,5.9702263
2023-04-04,6.3359323
2023-04-05,6.992315
2023-04-06,9.736138
2023-04-07,8.713875
2023-04-08,8.075841
2023-04-09,9.456716
2023-04-10,10.882263
2023-04-11,8.574208
2023-04-12,7.1373696
2023-04-13,8.363048
2023-04-14,7.0491943
2023-04-15,9.628825
2023-04-16,10.518311
2023-04-17,10.735209
2023-04-18,9.045796
2023-04-19,10.225017
2023-04-20,8.796165
2023-04-21,7.295915
2023-04-22,8.501556
2023-04-23,10.484752
2023-04-24,7.8661857
2023-04-25,6.3415093
2023-04-26,7.8150125
2023-04-27,9.352651
2023-04-28,12.911784
2023-04-29,11.496166
2023-04-30,11.367523
2023-05-01,12.453359
2023-05-02,10.781311
2023-05-03,9.570699
2023-05-04,13.151794
2023-05-05,14.062256
2023-05-06,12.626038
2023-05-07,14.672557
2023-05-08,12.583415
2023-05-09,13.53656
2023-05-10,12.961101
2023-05-11,12.710439
2023-05-12,10.767955
2023-05-13,11.077281
2023-05-14,12.881683
2023-05-15,12.000961
2023-05-16,11.751495
2023-05-17,12.562195
2023-05-18,13.546855
2023-05-19,12.349935
2023-05-20,13.068339
2023-05-21,13.1814165
2023-05-22,13.920268
2023-05-23,13.176697
2023-05-24,14.335591
2023-05-25,13.512074
2023-05-26,12.703837
2023-05-27,13.142344
2023-05-28,14.253235
2023-05-29,12.302775
2023-05-30,12.244945
2023-05-31,13.075195
2023-06-01,12.682811
2023-06-02,12.641805
2023-06-03,14.232615
2023-06-04,14.726929
2023-06-05,12.843333
2023-06-06,12.799296
2023-06-07,14.020406
2023-06-08,14.610698
2023-06-09,17.050497
2023-06-10,20.684488
2023-06-11,21.332449
2023-06-12,20.837057
2023-06-13,20.11849
2023-06-14,19.027008
2023-06-15,19.42687
2023-06-16,19.472616
2023-06-17,18.845184
2023-06-18,18.97941
2023-06-19,18.664032
2023-06-20,18.839325
2023-06-21,19.256449
2023-06-22,20.066254
2023-06-23,20.270538
2023-06-24,20.919962
2023-06-25,22.260324
2023-06-26,17.981934
2023-06-27,17.842499
2023-06-28,19.905375
2023-06-29,17.755606
2023-06-30,15.811157
2023-07-01,18.10552
2023-07-02,16.17283
2023-07-03,15.513814
2023-07-04,14.327026
2023-07-05,15.074188
2023-07-06,16.178152
2023-07-07,20.515665
2023-07-08,21.21763
2023-07-09,18.051615
2023-07-10,18.271036
2023-07-11,18.611246
2023-07-12,17.310251
2023-07-13,17.033487
2023-07-14,16.120584
2023-07-15,17.094797
2023-07-16,16.621002
2023-07-17,16.959768
2023-07-18,16.996805
2023-07-19,18.02125
2023-07-20,16.847757
2023-07-21,15.729451
2023-07-22,14.876231
2023-07-23,18.551718
2023-07-24,15.661926
2023-07-25,15.323192
2023-07-26,15.643331
2023-07-27,18.440878
2023-07-28,18.37731
2023-07-29,18.33259
2023-07-30,16.76351
2023-07-31,17.461802
2023-08-01,17.25588
2023-08-02,16.682901
2023-08-03,17.160492
2023-08-04,16.317017
2023-08-05,14.232005
2023-08-06,14.66332
2023-08-07,15.681682
2023-08-08,14.61443
2023-08-09,17.63038
2023-08-10,19.502645
2023-08-11,19.89271
2023-08-12,17.620493
2023-08-13,17.92157
2023-08-14,17.464762
2023-08-15,17.286478
2023-08-16,18.302643
2023-08-17,18.512747
2023-08-18,19.444021
2023-08-19,19.506418
2023-08-20,18.598246
2023-08-21,18.191803
2023-08-22,18.786499
2023-08-23,18.974792
2023-08-24,19.142365
2023-08-25,16.42919
2023-08-26,14.821838
2023-08-27,14.924022
2023-08-28,15.570079
2023-08-29,15.861196
2023-08-30,14.701671
2023-08-31,13.67628
2023-09-01,17.751495
2023-09-02,18.5401
2023-09-03,18.46874
2023-09-04,20.394602
2023-09-05,20.788797
2023-09-06,21.698456
2023-09-07,22.544931
2023-09-08,22.77183
2023-09-09,23.951273
2023-09-10,22.616312
2023-09-11,20.21871
2023-09-12,18.395071
2023-09-13,15.736522
2023-09-14,16.654379
2023-09-15,16.884775
2023-09-16,18.208832
2023-09-17,17.749716
2023-09-18,16.469992
2023-09-19,16.246714
2023-09-20,17.219217
2023-09-21,13.644623
2023-09-22,12.662486
2023-09-23,12.588246
2023-09-24,16.4121
2023-09-25,17.309702
2023-09-26,16.781555
2023-09-27,17.143381
2023-09-28,16.304626
2023-09-29,16.255697
2023-09-30,14.300466
2023-10-01,18.350595
2023-10-02,17.165854
2023-10-03,14.512736
2023-10-04,13.676941
2023-10-05,14.658905
2023-10-06,16.288706
2023-10-07,17.749125
2023-10-08,16.967804
2023-10-09,17.081625
2023-10-10,16.302267
2023-10-11,16.837576
2023-10-12,14.373179
2023-10-13,16.060225
2023-10-14,9.301029
2023-10-15,6.2660537
2023-10-16,7.207068
2023-10-17,11.255211
2023-10-18,12.614502
2023-10-19,15.913749
2023-10-20,14.11803
2023-10-21,12.260621
2023-10-22,9.809808
2023-10-23,10.520522
2023-10-24,10.255242
2023-10-25,10.216893
2023-10-26,11.254178
2023-10-27,9.917194
2023-10-28,11.548576
2023-10-29,10.552066
2023-10-30,10.68348
2023-10-31,10.152299
2023-11-01,11.81628
2023-11-02,10.034199
2023-11-03,9.408646
2023-11-04,8.53423
2023-11-05,9.443962
2023-11-06,9.127284
2023-11-07,8.022841
2023-11-08,9.026695
2023-11-09,7.620523
2023-11-10,6.5223007
2023-11-11,5.3511176
2023-11-12,7.0236373
2023-11-13,12.272681
2023-11-14,10.623772
2023-11-15,8.726124
2023-11-16,5.8534813
2023-11-17,6.6909776
2023-11-18,12.214219
2023-11-19,12.1255
2023-11-20,9.805149
2023-11-21,9.381886
2023-11-22,7.922297
2023-11-23,11.152953
2023-11-24,7.0418267
2023-11-25,1.7847315
2023-11-26,3.0029323
2023-11-27,7.505979
2023-11-28,4.48636
2023-11-29,2.0023334
2023-11-30,0.19696681
2023-12-01,-0.15322495
2023-12-02,-1.7613043
2023-12-03,5.1998963
2023-12-04,6.158779
2023-12-05,5.1120505
2023-12-06,2.8235168
2023-12-07,6.3948035
2023-12-08,7.95429
2023-12-09,9.795002
2023-12-10,9.458268
2023-12-11,9.127124
2023-12-12,9.409564
2023-12-13,7.0875816
2023-12-14,5.2914987
2023-12-15,7.0119157
2023-12-16,9.3523245
2023-12-17,9.536002
2023-12-18,10.387657
2023-12-19,9.517505
2023-12-20,8.017104
2023-12-21,11.67215
2023-12-22,10.737927
2023-12-23,9.985394
2023-12-24,12.637492
2023-12-25,11.926446
2023-12-26,7.106922
2023-12-27,9.889186
2023-12-28,11.083809
2023-12-29,8.876628
2023-12-30,8.957875
2023-12-31,8.067601
