day,t2m_C
2023-01-01,9.4201355
2023-01-02,4.4606323
2023-01-03,7.3103943
2023-01-04,11.5243225
2023-01-05,10.593445
2023-01-06,10.453033
2023-01-07,9.642456
2023-01-08,6.658142
2023-01-09,5.600952
2023-01-10,8.110992
2023-01-11,8.90625
2023-01-12,9.2960205
2023-01-13,6.921051
2023-01-14,7.155304
2023-01-15,4.0044556
2023-01-16,1.1155396
2023-01-17,-2.8659973
2023-01-18,-0.55758667
2023-01-19,-0.25411987
2023-01-20,1.4135742
2023-01-21,-0.58566284
2023-01-22,-2.375122
2023-01-23,-1.2161865
2023-01-24,0.6776123
2023-01-25,1.800354
2023-01-26,4.3739014
2023-01-27,3.7148132
2023-01-28,3.281433
2023-01-29,5.1174316
2023-01-30,5.6111145
2023-01-31,5.163391
2023-02-01,6.2908936
2023-02-02,8.108917
2023-02-03,9.321045
2023-02-04,7.609894
2023-02-05,4.279785
2023-02-06,1.2413025
2023-02-07,0.27749634
2023-02-08,-0.553833
2023-02-09,0.8050232
2023-02-10,2.6298218
2023-02-11,7.5043335
2023-02-12,6.9726562
2023-02-13,4.7652283
2023-02-14,2.8632202
2023-02-15,5.68277
2023-02-16,8.958374
2023-02-17,11.023956
2023-02-18,10.583862
2023-02-19,8.325317
2023-02-20,7.725403
2023-02-21,7.055481
2023-02-22,5.739258
2023-02-23,4.2414246
2023-02-24,2.6698914
2023-02-25,3.103363
2023-02-26,1.9453125
2023-02-27,2.1096802
2023-02-28,3.3987122
2023-03-01,4.2560425
2023-03-02,3.2332153
2023-03-03,4.1638794
2023-03-04,4.6881714
2023-03-05,3.4487915
2023-03-06,3.643921
2023-03-07,2.3346558
2023-03-08,1.1880798
2023-03-09,5.230835
2023-03-10,4.0201416
2023-03-11,1.2202148
2023-03-12,8.84079
2023-03-13,10.91568
2023-03-14,5.9872437
2023-03-15,3.7151184
2023-03-16,9.736786
2023-03-17,10.532135
2023-03-18,9.551575
2023-03-19,7.8964233
2023-03-20,8.695374
2023-03-21,9.661163
2023-03-22,10.556213
2023-03-23,9.548126
2023-03-24,8.730072
2023-03-25,8.883087
2023-03-26,6.822052
2023-03-27,4.0581055
2023-03-28,6.2665405
2023-03-29,10.544189
2023-03-30,11.157745
2023-03-31,10.177307
2023-04-01,8.74881
2023-04-02,6.348297
2023-04-03,3.6450806
2023-04-04,3.537323
2023-04-05,5.327545
2023-04-06,8.307312
2023-04-07,6.8031616
2023-04-08,5.80249
2023-04-09,7.7648315
2023-04-10,9.876404
2023-04-11,7.425293
2023-04-12,6.2951965
2023-04-13,6.809906
2023-04-14,5.6488647
2023-04-15,8.236511
2023-04-16,8.846405
2023-04-17,8.809814
2023-04-18,8.223145
2023-04-19,8.423187
2023-04-20,6.2514954
2023-04-21,6.438843
2023-04-22,6.9764404
2023-04-23,9.499878
2023-04-24,6.755127
2023-04-25,4.8204956
2023-04-26,6.6579285
2023-04-27,8.017212
2023-04-28,11.613342
2023-04-29,9.249603
2023-04-30,9.082886
2023-05-01,11.26123
2023-05-02,9.509338
2023-05-03,7.1904907
2023-05-04,10.887817
2023-05-05,12.780853
2023-05-06,12.109528
2023-05-07,13.535004
2023-05-08,11.827026
2023-05-09,12.288574
2023-05-10,11.439941
2023-05-11,10.937958
2023-05-12,10.151489
2023-05-13,10.316406
2023-05-14,11.812561
2023-05-15,11.105286
2023-05-16,9.880554
2023-05-17,10.523987
2023-05-18,11.386108
2023-05-19,10.725067
2023-05-20,10.557739
2023-05-21,10.845703
2023-05-22,12.248779
2023-05-23,11.563782
2023-05-24,11.900726
2023-05-25,11.472473
2023-05-26,10.445526
2023-05-27,10.770813
2023-05-28,11.023743
2023-05-29,10.498077
2023-05-30,10.790894
2023-05-31,11.833191
2023-06-01,11.565369
2023-06-02,11.455078
2023-06-03,11.800171
2023-06-04,12.102966
2023-06-05,11.411072
2023-06-06,11.874268
2023-06-07,12.102753
2023-06-08,12.542725
2023-06-09,14.766388
2023-06-10,17.158783
2023-06-11,18.2641
2023-06-12,18.364532
2023-06-13,16.902985
2023-06-14,15.685242
2023-06-15,16.30606
2023-06-16,16.26007
2023-06-17,16.766846
2023-06-18,16.821747
2023-06-19,16.832397
2023-06-20,17.692078
2023-06-21,17.30896
2023-06-22,17.530518
2023-06-23,18.198334
2023-06-24,18.905457
2023-06-25,18.589508
2023-06-26,16.20523
2023-06-27,16.577332
2023-06-28,19.315308
2023-06-29,17.456635
2023-06-30,14.883972
2023-07-01,17.410034
2023-07-02,14.583649
2023-07-03,14.149048
2023-07-04,13.01181
2023-07-05,13.502106
2023-07-06,13.946808
2023-07-07,17.147491
2023-07-08,19.727112
2023-07-09,16.880005
2023-07-10,16.390167
2023-07-11,17.598877
2023-07-12,15.777161
2023-07-13,15.614868
2023-07-14,15.636597
2023-07-15,15.77948
2023-07-16,15.213379
2023-07-17,15.093506
2023-07-18,15.14505
2023-07-19,16.53656
2023-07-20,14.788422
2023-07-21,14.343872
2023-07-22,14.378998
2023-07-23,17.072906
2023-07-24,15.356079
2023-07-25,13.836731
2023-07-26,13.176483
2023-07-27,17.584167
2023-07-28,17.365417
2023-07-29,16.888733
2023-07-30,15.879242
2023-07-31,16.738495
2023-08-01,15.829956
2023-08-02,16.233765
2023-08-03,16.070465
2023-08-04,15.28241
2023-08-05,13.724487
2023-08-06,13.241455
2023-08-07,13.625305
2023-08-08,13.876282
2023-08-09,15.975586
2023-08-10,16.866241
2023-08-11,18.047821
2023-08-12,16.19696
2023-08-13,16.759674
2023-08-14,16.30371
2023-08-15,15.404083
2023-08-16,15.939758
2023-08-17,16.60373
2023-08-18,18.757385
2023-08-19,18.419678
2023-08-20,16.656372
2023-08-21,16.497162
2023-08-22,16.661469
2023-08-23,16.938202
2023-08-24,17.743591
2023-08-25,15.144775
2023-08-26,13.340271
2023-08-27,13.458313
2023-08-28,14.189453
2023-08-29,14.530426
2023-08-30,13.502838
2023-08-31,12.905518
2023-09-01,16.713623
2023-09-02,16.785065
2023-09-03,16.375702
2023-09-04,17.302795
2023-09-05,17.992218
2023-09-06,19.206665
2023-09-07,19.728271
2023-09-08,20.402283
2023-09-09,21.202728
2023-09-10,20.065735
2023-09-11,18.955048
2023-09-12,17.055847
2023-09-13,14.4021
2023-09-14,14.241089
2023-09-15,13.81546
2023-09-16,15.657471
2023-09-17,17.219177
2023-09-18,15.249847
2023-09-19,15.3420105
2023-09-20,16.403809
2023-09-21,12.370697
2023-09-22,11.300293
2023-09-23,10.973267
2023-09-24,15.059509
2023-09-25,15.958038
2023-09-26,14.565582
2023-09-27,15.895447
2023-09-28,16.135376
2023-09-29,15.483826
2023-09-30,13.141144
2023-10-01,17.007263
2023-10-02,16.673828
2023-10-03,13.759918
2023-10-04,12.53952
2023-10-05,13.415039
2023-10-06,14.999237
2023-10-07,16.173767
2023-10-08,14.842651
2023-10-09,15.03421
2023-10-10,14.695679
