date,t2m_daily_mean_C
2023-01-01,9.114861
2023-01-02,9.265349
2023-01-03,6.6357217
2023-01-04,4.365378
2023-01-05,4.7772775
2023-01-06,3.7117932
2023-01-07,4.9214454
2023-01-08,11.21127
2023-01-09,10.35958
2023-01-10,5.8877473
2023-01-11,6.9520593
2023-01-12,4.8935623
2023-01-13,5.065046
2023-01-14,4.0910277
2023-01-15,5.0617905
2023-01-16,7.164589
2023-01-17,8.453319
2023-01-18,4.231813
2023-01-19,4.964863
2023-01-20,9.749596
2023-01-21,6.5759926
2023-01-22,3.1101544
2023-01-23,3.0851963
2023-01-24,2.3241413
2023-01-25,3.0617702
2023-01-26,4.1368384
2023-01-27,4.1720147
2023-01-28,3.9896812
2023-01-29,1.8936323
2023-01-30,1.7739741
2023-01-31,1.9921951
2023-02-01,4.068537
2023-02-02,5.6880302
2023-02-03,5.251442
2023-02-04,5.8281693
2023-02-05,7.1274734
2023-02-06,5.1682854
2023-02-07,4.5390687
2023-02-08,6.077863
2023-02-09,5.3966155
2023-02-10,3.917263
2023-02-11,3.6302261
2023-02-12,4.6324477
2023-02-13,5.4683366
2023-02-14,5.962471
2023-02-15,7.0663514
2023-02-16,7.349472
2023-02-17,7.864474
2023-02-18,8.89666
2023-02-19,11.752555
2023-02-20,12.324974
2023-02-21,11.102988
2023-02-22,9.7274885
2023-02-23,5.873141
2023-02-24,3.332386
2023-02-25,3.0494335
2023-02-26,3.7976646
2023-02-27,1.9077669
2023-02-28,1.9514669
2023-03-01,1.2244123
2023-03-02,2.4433224
2023-03-03,4.2621064
2023-03-04,5.8120866
2023-03-05,4.2959647
2023-03-06,8.591282
2023-03-07,11.385194
2023-03-08,12.782185
2023-03-09,13.564504
2023-03-10,13.680299
2023-03-11,14.013654
2023-03-12,15.170834
2023-03-13,14.155544
2023-03-14,10.933911
2023-03-15,11.686909
2023-03-16,14.052428
2023-03-17,13.217278
2023-03-18,10.804573
2023-03-19,11.362049
2023-03-20,11.707559
2023-03-21,12.910873
2023-03-22,13.6943655
2023-03-23,14.327361
2023-03-24,13.099362
2023-03-25,13.494546
2023-03-26,14.219047
2023-03-27,11.959403
2023-03-28,14.293262
2023-03-29,16.698465
2023-03-30,16.365473
2023-03-31,16.18745
2023-04-01,13.852939
2023-04-02,11.266167
2023-04-03,11.199311
2023-04-04,13.834386
2023-04-05,12.559291
2023-04-06,14.872857
2023-04-07,15.403409
2023-04-08,16.400629
2023-04-09,17.642263
2023-04-10,18.074076
2023-04-11,17.97468
2023-04-12,14.47111
2023-04-13,11.333751
2023-04-14,13.638469
2023-04-15,15.648112
2023-04-16,16.156982
2023-04-17,16.124369
2023-04-18,15.228088
2023-04-19,16.10441
2023-04-20,19.009544
2023-04-21,17.414324
2023-04-22,15.602794
2023-04-23,16.047007
2023-04-24,18.485163
2023-04-25,19.71773
2023-04-26,20.270416
2023-04-27,22.09793
2023-04-28,23.513102
2023-04-29,20.624096
2023-04-30,19.0643
2023-05-01,19.21817
2023-05-02,20.554016
2023-05-03,21.729635
2023-05-04,19.586853
2023-05-05,18.624268
2023-05-06,19.463766
2023-05-07,20.643911
2023-05-08,21.339111
2023-05-09,21.025085
2023-05-10,18.73877
2023-05-11,15.866771
2023-05-12,13.391571
2023-05-13,14.516652
2023-05-14,14.881439
2023-05-15,14.986232
2023-05-16,15.454783
2023-05-17,15.850525
2023-05-18,15.561015
2023-05-19,14.940918
2023-05-20,14.739319
2023-05-21,16.218527
2023-05-22,17.877054
2023-05-23,17.353617
2023-05-24,18.151999
2023-05-25,17.98815
2023-05-26,15.316386
2023-05-27,16.775238
2023-05-28,16.045553
2023-05-29,16.87561
2023-05-30,16.95165
2023-05-31,18.472086
2023-06-01,17.280142
2023-06-02,17.332724
2023-06-03,19.05073
2023-06-04,20.012655
2023-06-05,19.778635
2023-06-06,21.77244
2023-06-07,18.169333
2023-06-08,17.787863
2023-06-09,19.30131
2023-06-10,21.199951
2023-06-11,21.709726
2023-06-12,21.539368
2023-06-13,19.330648
2023-06-14,20.996653
2023-06-15,24.071157
2023-06-16,25.749308
2023-06-17,26.153372
2023-06-18,24.59725
2023-06-19,23.53472
2023-06-20,22.681204
2023-06-21,21.938986
2023-06-22,23.196543
2023-06-23,25.766226
2023-06-24,27.682495
2023-06-25,28.894602
2023-06-26,29.05542
2023-06-27,28.435598
2023-06-28,28.288351
2023-06-29,27.064524
2023-06-30,23.106812
2023-07-01,25.194632
2023-07-02,27.010803
2023-07-03,27.48989
2023-07-04,26.593466
2023-07-05,25.743378
2023-07-06,26.361258
2023-07-07,25.923706
2023-07-08,24.922302
2023-07-09,26.200785
2023-07-10,29.085897
2023-07-11,30.421713
2023-07-12,26.209259
2023-07-13,27.742392
2023-07-14,28.277975
2023-07-15,25.697662
2023-07-16,25.199778
2023-07-17,29.272268
2023-07-18,31.041647
2023-07-19,30.653086
2023-07-20,27.780863
2023-07-21,25.391153
2023-07-22,25.064545
2023-07-23,27.390177
2023-07-24,24.69399
2023-07-25,23.901968
2023-07-26,24.965921
2023-07-27,25.98816
2023-07-28,25.821726
2023-07-29,27.124502
2023-07-30,28.674643
2023-07-31,29.215952
2023-08-01,28.158957
2023-08-02,27.701212
2023-08-03,25.354422
2023-08-04,21.934122
2023-08-05,23.885977
2023-08-06,27.143625
2023-08-07,27.084595
2023-08-08,29.238373
2023-08-09,30.856863
2023-08-10,30.038858
2023-08-11,29.678598
2023-08-12,30.29424
2023-08-13,28.786642
2023-08-14,27.568521
2023-08-15,27.361593
2023-08-16,27.990469
2023-08-17,27.308725
2023-08-18,26.593515
2023-08-19,27.892487
2023-08-20,29.04779
2023-08-21,30.783762
2023-08-22,31.690226
2023-08-23,30.89862
2023-08-24,30.47643
2023-08-25,29.421783
2023-08-26,26.32493
2023-08-27,19.47399
2023-08-28,20.72291
2023-08-29,21.348581
2023-08-30,21.203054
2023-08-31,23.221527
2023-09-01,24.959015
2023-09-02,19.108053
2023-09-03,17.840403
2023-09-04,19.301666
2023-09-05,20.743225
2023-09-06,22.290659
2023-09-07,23.268564
2023-09-08,23.766378
2023-09-09,22.3231
2023-09-10,22.406595
2023-09-11,21.275187
2023-09-12,20.15093
2023-09-13,21.292755
2023-09-14,21.768555
2023-09-15,19.387625
2023-09-16,18.641043
2023-09-17,16.259888
2023-09-18,16.62909
2023-09-19,18.195688
2023-09-20,18.377096
2023-09-21,15.486989
2023-09-22,15.038381
2023-09-23,15.087514
2023-09-24,17.40803
2023-09-25,18.909311
2023-09-26,19.760641
2023-09-27,20.019846
2023-09-28,19.973001
2023-09-29,21.115723
2023-09-30,21.465994
2023-10-01,21.405447
2023-10-02,20.98763
2023-10-03,20.81376
2023-10-04,20.936136
2023-10-05,20.68641
2023-10-06,21.039114
2023-10-07,20.448343
2023-10-08,20.082306
2023-10-09,19.476725
2023-10-10,18.480326
2023-10-11,18.022959
2023-10-12,18.56605
2023-10-13,19.04989
2023-10-14,17.338465
2023-10-15,15.893983
2023-10-16,16.564898
2023-10-17,18.739992
2023-10-18,17.506674
2023-10-19,14.621268
2023-10-20,13.222766
2023-10-21,11.420127
2023-10-22,11.757644
2023-10-23,12.582452
2023-10-24,11.515496
2023-10-25,15.120377
2023-10-26,15.781278
2023-10-27,12.976113
