day,t2m_C
2023-01-01,10.044312
2023-01-02,10.404205
2023-01-03,8.235962
2023-01-04,6.287323
2023-01-05,6.7132263
2023-01-06,5.190613
2023-01-07,4.82251
2023-01-08,11.711182
2023-01-09,11.753174
2023-01-10,7.1384583
2023-01-11,8.061676
2023-01-12,5.9385376
2023-01-13,6.491913
2023-01-14,5.031494
2023-01-15,6.839966
2023-01-16,7.9576416
2023-01-17,9.375977
2023-01-18,5.1037292
2023-01-19,5.267517
2023-01-20,10.8845825
2023-01-21,8.056519
2023-01-22,4.695038
2023-01-23,4.4687805
2023-01-24,3.6063843
2023-01-25,4.71167
2023-01-26,5.5496826
2023-01-27,5.7745667
2023-01-28,5.663269
2023-01-29,3.4442444
2023-01-30,3.543274
2023-01-31,4.789917
2023-02-01,6.639496
2023-02-02,7.9071045
2023-02-03,8.488159
2023-02-04,9.319733
2023-02-05,10.299561
2023-02-06,6.86969
2023-02-07,5.362976
2023-02-08,7.4709473
2023-02-09,6.6871033
2023-02-10,5.833954
2023-02-11,5.371521
2023-02-12,5.9766235
2023-02-13,6.9768066
2023-02-14,7.0605774
2023-02-15,8.618225
2023-02-16,9.637238
2023-02-17,10.028564
2023-02-18,10.53598
2023-02-19,13.426544
2023-02-20,13.859924
2023-02-21,12.880798
2023-02-22,11.49939
2023-02-23,7.0078125
2023-02-24,4.9248657
2023-02-25,4.6888733
2023-02-26,6.20813
2023-02-27,3.3912354
2023-02-28,4.318512
2023-03-01,3.0518188
2023-03-02,5.0668335
2023-03-03,6.8953247
2023-03-04,7.645813
2023-03-05,5.9033813
2023-03-06,9.758362
2023-03-07,12.637573
2023-03-08,14.222961
2023-03-09,14.6701355
2023-03-10,15.441223
2023-03-11,16.184875
2023-03-12,17.075745
2023-03-13,16.112854
2023-03-14,13.023834
2023-03-15,13.975281
2023-03-16,16.819733
2023-03-17,14.257385
2023-03-18,12.263611
2023-03-19,13.9201355
2023-03-20,14.689453
2023-03-21,15.723389
2023-03-22,16.441101
2023-03-23,16.507812
2023-03-24,15.133057
2023-03-25,15.32428
2023-03-26,16.891785
2023-03-27,14.376495
2023-03-28,16.963501
2023-03-29,19.216827
2023-03-30,18.258423
2023-03-31,17.695312
2023-04-01,15.425659
2023-04-02,13.549438
2023-04-03,13.810852
2023-04-04,16.097595
2023-04-05,15.62796
2023-04-06,17.717712
2023-04-07,18.26947
2023-04-08,20.073181
2023-04-09,20.699219
2023-04-10,21.563263
2023-04-11,20.688782
2023-04-12,17.068726
2023-04-13,13.042328
2023-04-14,15.800598
2023-04-15,17.885864
2023-04-16,18.764282
2023-04-17,19.364716
2023-04-18,17.567017
2023-04-19,18.378418
2023-04-20,21.664734
2023-04-21,20.292297
2023-04-22,16.877075
2023-04-23,19.025757
2023-04-24,21.070343
2023-04-25,23.000397
2023-04-26,23.802673
2023-04-27,25.120544
2023-04-28,25.908936
2023-04-29,22.756073
2023-04-30,21.213348
2023-05-01,21.986633
2023-05-02,23.386963
2023-05-03,23.92633
2023-05-04,21.336823
2023-05-05,21.63501
2023-05-06,22.935669
2023-05-07,23.415894
2023-05-08,24.143494
2023-05-09,23.645203
2023-05-10,20.635742
2023-05-11,18.096527
2023-05-12,15.4348755
2023-05-13,16.703857
2023-05-14,17.265747
2023-05-15,17.74054
2023-05-16,17.865906
2023-05-17,18.443176
2023-05-18,18.051514
2023-05-19,17.012085
2023-05-20,16.686523
2023-05-21,18.178925
2023-05-22,20.165161
2023-05-23,19.351318
2023-05-24,20.501404
2023-05-25,20.572205
2023-05-26,15.804596
2023-05-27,18.604034
2023-05-28,17.057251
2023-05-29,18.70758
2023-05-30,18.769318
2023-05-31,20.322876
2023-06-01,19.311981
2023-06-02,19.067139
2023-06-03,21.241058
2023-06-04,21.822266
2023-06-05,22.300476
2023-06-06,23.94632
2023-06-07,17.812561
2023-06-08,17.952576
2023-06-09,20.553192
2023-06-10,22.631409
2023-06-11,24.269928
2023-06-12,24.295258
2023-06-13,21.120941
2023-06-14,23.394806
2023-06-15,26.437317
2023-06-16,28.259705
2023-06-17,29.213562
2023-06-18,26.528992
2023-06-19,24.90387
2023-06-20,24.378662
2023-06-21,24.990051
2023-06-22,24.86792
2023-06-23,28.141235
2023-06-24,29.981323
2023-06-25,32.282227
2023-06-26,32.164734
2023-06-27,30.58551
2023-06-28,30.428375
2023-06-29,30.706268
2023-06-30,24.973877
2023-07-01,27.443115
2023-07-02,29.519348
2023-07-03,29.879883
2023-07-04,29.55777
2023-07-05,28.0932
2023-07-06,28.658997
2023-07-07,28.423218
2023-07-08,28.121216
2023-07-09,28.88861
2023-07-10,32.357635
2023-07-11,33.713135
2023-07-12,29.02887
2023-07-13,29.986938
2023-07-14,31.114838
2023-07-15,27.944946
2023-07-16,27.846344
2023-07-17,31.718597
2023-07-18,33.608643
2023-07-19,33.055115
2023-07-20,30.631866
2023-07-21,27.855286
2023-07-22,27.33603
2023-07-23,29.724213
2023-07-24,27.453278
2023-07-25,25.814545
2023-07-26,27.362305
2023-07-27,28.774628
2023-07-28,28.586609
2023-07-29,30.208893
2023-07-30,31.442047
2023-07-31,31.674042
2023-08-01,30.454437
2023-08-02,30.537811
2023-08-03,27.200867
2023-08-04,23.486053
2023-08-05,26.415314
2023-08-06,29.653534
2023-08-07,29.041595
2023-08-08,31.353882
2023-08-09,33.331085
2023-08-10,32.510956
2023-08-11,32.61731
2023-08-12,32.735596
