day,t2m_C
2023-01-01,8.185425
2023-01-02,8.126495
2023-01-03,5.035492
2023-01-04,2.4434204
2023-01-05,2.8413086
2023-01-06,2.2329712
2023-01-07,5.0203857
2023-01-08,10.711365
2023-01-09,8.966003
2023-01-10,4.637024
2023-01-11,5.8424377
2023-01-12,3.8486023
2023-01-13,3.6381836
2023-01-14,3.1505737
2023-01-15,3.2835999
2023-01-16,6.3715515
2023-01-17,7.5306396
2023-01-18,3.3598938
2023-01-19,4.6622314
2023-01-20,8.6145935
2023-01-21,5.0954895
2023-01-22,1.5252686
2023-01-23,1.7015991
2023-01-24,1.0418701
2023-01-25,1.4118652
2023-01-26,2.723999
2023-01-27,2.569458
2023-01-28,2.316101
2023-01-29,0.34301758
2023-01-30,0.0046691895
2023-01-31,-0.8055115
2023-02-01,1.4975891
2023-02-02,3.468933
2023-02-03,2.0147095
2023-02-04,2.336609
2023-02-05,3.9553833
2023-02-06,3.4668884
2023-02-07,3.715149
2023-02-08,4.6847534
2023-02-09,4.10614
2023-02-10,2.0005798
2023-02-11,1.888916
2023-02-12,3.288269
2023-02-13,3.9599
2023-02-14,4.86438
2023-02-15,5.5144653
2023-02-16,5.0617065
2023-02-17,5.7003784
2023-02-18,7.2573547
2023-02-19,10.078552
2023-02-20,10.790009
2023-02-21,9.325165
2023-02-22,7.9555664
2023-02-23,4.738495
2023-02-24,1.7398682
2023-02-25,1.4100037
2023-02-26,1.387207
2023-02-27,0.4243164
2023-02-28,-0.41558838
2023-03-01,-0.60302734
2023-03-02,-0.18017578
2023-03-03,1.6288757
2023-03-04,3.978363
2023-03-05,2.6885376
2023-03-06,7.4241943
2023-03-07,10.1328125
2023-03-08,11.3414
2023-03-09,12.458862
2023-03-10,11.919373
2023-03-11,11.842468
2023-03-12,13.26593
2023-03-13,12.198242
2023-03-14,8.843994
2023-03-15,9.39856
2023-03-16,11.285126
2023-03-17,12.177155
2023-03-18,9.34552
2023-03-19,8.803955
2023-03-20,8.725647
2023-03-21,10.098328
2023-03-22,10.947632
2023-03-23,12.146912
2023-03-24,11.065674
2023-03-25,11.664825
2023-03-26,11.546326
2023-03-27,9.542297
2023-03-28,11.622986
2023-03-29,14.180115
2023-03-30,14.472534
2023-03-31,14.679565
2023-04-01,12.280212
2023-04-02,8.98291
2023-04-03,8.587769
2023-04-04,11.571167
2023-04-05,9.490631
2023-04-06,12.028015
2023-04-07,12.5373535
2023-04-08,12.728088
2023-04-09,14.585327
2023-04-10,14.5849
2023-04-11,15.26059
2023-04-12,11.873474
2023-04-13,9.625183
2023-04-14,11.476318
2023-04-15,13.410339
2023-04-16,13.549683
2023-04-17,12.884033
2023-04-18,12.88916
2023-04-19,13.830414
2023-04-20,16.35437
2023-04-21,14.536346
2023-04-22,14.328491
2023-04-23,13.068237
2023-04-24,15.899963
2023-04-25,16.435059
2023-04-26,16.73816
2023-04-27,19.075317
2023-04-28,21.117249
2023-04-29,18.492126
2023-04-30,16.915253
2023-05-01,16.449707
2023-05-02,17.72107
2023-05-03,19.532959
2023-05-04,17.836884
2023-05-05,15.613525
2023-05-06,15.991852
2023-05-07,17.871918
2023-05-08,18.534729
2023-05-09,18.404968
2023-05-10,16.841797
2023-05-11,13.637024
2023-05-12,11.348267
2023-05-13,12.329437
2023-05-14,12.497131
2023-05-15,12.231934
2023-05-16,13.04364
2023-05-17,13.257874
2023-05-18,13.070496
2023-05-19,12.869751
2023-05-20,12.792114
2023-05-21,14.258118
2023-05-22,15.588959
2023-05-23,15.3559265
2023-05-24,15.802582
2023-05-25,15.404114
2023-05-26,14.828186
2023-05-27,14.946442
2023-05-28,15.033844
2023-05-29,15.04364
2023-05-30,15.133972
2023-05-31,16.621277
2023-06-01,15.248291
2023-06-02,15.598297
2023-06-03,16.860413
2023-06-04,18.203064
2023-06-05,17.256775
2023-06-06,19.598572
2023-06-07,18.526093
2023-06-08,17.623138
2023-06-09,18.049438
2023-06-10,19.768494
2023-06-11,19.149536
2023-06-12,18.783478
2023-06-13,17.540344
2023-06-14,18.59851
2023-06-15,21.704987
2023-06-16,23.238922
2023-06-17,23.09317
2023-06-18,22.665497
2023-06-19,22.165558
2023-06-20,20.983765
2023-06-21,18.887909
2023-06-22,21.525146
2023-06-23,23.391205
2023-06-24,25.383667
2023-06-25,25.506989
2023-06-26,25.946106
2023-06-27,26.285675
2023-06-28,26.148315
2023-06-29,23.42279
2023-06-30,21.239746
2023-07-01,22.946167
2023-07-02,24.502258
2023-07-03,25.099915
2023-07-04,23.62915
2023-07-05,23.393555
2023-07-06,24.063507
2023-07-07,23.424194
2023-07-08,21.723389
2023-07-09,23.51297
2023-07-10,25.814148
2023-07-11,27.13028
2023-07-12,23.389648
2023-07-13,25.497864
2023-07-14,25.441101
2023-07-15,23.450378
2023-07-16,22.553223
2023-07-17,26.825928
2023-07-18,28.47464
2023-07-19,28.251068
2023-07-20,24.92987
2023-07-21,22.927032
2023-07-22,22.79306
2023-07-23,25.056152
2023-07-24,21.934692
2023-07-25,21.98938
2023-07-26,22.56955
2023-07-27,23.20169
2023-07-28,23.056824
2023-07-29,24.0401
2023-07-30,25.907227
2023-07-31,26.757874
2023-08-01,25.863464
2023-08-02,24.864624
2023-08-03,23.507965
2023-08-04,20.382202
2023-08-05,21.356628
2023-08-06,24.633728
2023-08-07,25.127594
2023-08-08,27.122864
2023-08-09,28.38263
2023-08-10,27.566772
2023-08-11,26.739868
2023-08-12,27.852905
2023-08-13,26.21637
2023-08-14,25.044434
2023-08-15,24.876099
2023-08-16,25.694
2023-08-17,24.590698
2023-08-18,24.260956
2023-08-19,25.024658
2023-08-20,25.578735
2023-08-21,27.888763
2023-08-22,29.529144
2023-08-23,28.700745
2023-08-24,27.791931
2023-08-25,26.454346
2023-08-26,24.674896
2023-08-27,18.23581
2023-08-28,18.542664
2023-08-29,19.101074
2023-08-30,18.658264
2023-08-31,20.621185
2023-09-01,22.923431
2023-09-02,17.967834
2023-09-03,17.271362
2023-09-04,18.703491
2023-09-05,18.713745
2023-09-06,20.637482
2023-09-07,21.73706
2023-09-08,22.196075
2023-09-09,20.690369
2023-09-10,20.411438
2023-09-11,19.881317
2023-09-12,18.053741
2023-09-13,19.396545
2023-09-14,20.38153
2023-09-15,18.164246
2023-09-16,17.923248
2023-09-17,15.759216
2023-09-18,15.124023
2023-09-19,16.119843
2023-09-20,16.65512
2023-09-21,15.109955
2023-09-22,12.912109
2023-09-23,12.556946
2023-09-24,14.356079
2023-09-25,15.287476
2023-09-26,17.067047
2023-09-27,17.607666
2023-09-28,16.742157
2023-09-29,17.529572
2023-09-30,18.217804
2023-10-01,17.758392
2023-10-02,17.927399
2023-10-03,18.08136
2023-10-04,18.85788
2023-10-05,17.15039
2023-10-06,17.31955
2023-10-07,16.774658
2023-10-08,16.474152
2023-10-09,16.172241
2023-10-10,15.108765
2023-10-11,14.756348
2023-10-12,15.421692
2023-10-13,17.295898
2023-10-14,16.29834
2023-10-15,14.161102
2023-10-16,15.678345
2023-10-17,17.34259
2023-10-18,16.741425
2023-10-19,13.8854065
2023-10-20,12.061096
2023-10-21,10.125336
2023-10-22,10.364288
2023-10-23,11.859497
2023-10-24,11.124573
2023-10-25,14.192566
2023-10-26,14.911987
2023-10-27,12.337555
2023-10-28,13.155334
2023-10-29,13.679962
2023-10-30,11.113678
2023-10-31,7.6438293
2023-11-01,10.896423
2023-11-02,11.6909485
2023-11-03,9.939087
2023-11-04,11.294556
2023-11-05,9.606873
2023-11-06,6.170105
2023-11-07,5.2842407
2023-11-08,7.8082886
2023-11-09,10.099823
2023-11-10,10.507751
2023-11-11,13.668762
2023-11-12,13.743347
2023-11-13,13.399658
2023-11-14,11.4696045
2023-11-15,10.915253
2023-11-16,11.415039
2023-11-17,11.799164
2023-11-18,8.982727
2023-11-19,8.552155
2023-11-20,8.308746
2023-11-21,8.721802
2023-11-22,7.6092224
2023-11-23,4.957947
2023-11-24,3.6929321
2023-11-25,4.3601685
2023-11-26,5.64386
2023-11-27,7.5160217
2023-11-28,9.722473
2023-11-29,11.580322
2023-11-30,12.929871
2023-12-01,8.353943
2023-12-02,4.0473633
2023-12-03,2.9184875
2023-12-04,6.2547913
2023-12-05,5.1173096
2023-12-06,4.6069946
2023-12-07,6.2470093
2023-12-08,7.50412
2023-12-09,7.546051
2023-12-10,10.86908
2023-12-11,10.525269
2023-12-12,9.244446
2023-12-13,8.619324
2023-12-14,4.381958
2023-12-15,3.654358
2023-12-16,1.9100342
2023-12-17,1.5195618
2023-12-18,1.0499573
2023-12-19,1.1045532
2023-12-20,3.2471313
2023-12-21,4.2457886
2023-12-22,3.2825317
2023-12-23,2.6299133
2023-12-24,1.3820801
2023-12-25,0.47003174
2023-12-26,0.90838623
2023-12-27,2.0906372
2023-12-28,2.3605957
2023-12-29,4.2955017
2023-12-30,3.6249695
2023-12-31,6.0570374
