date,t2m_daily_mean_C
2023-01-01,15.399854
2023-01-02,15.272511
2023-01-03,14.517476
2023-01-04,13.507712
2023-01-05,14.385921
2023-01-06,13.520713
2023-01-07,14.257382
2023-01-08,14.51311
2023-01-09,12.702923
2023-01-10,12.413464
2023-01-11,13.938957
2023-01-12,13.014981
2023-01-13,13.880394
2023-01-14,13.631962
2023-01-15,13.094261
2023-01-16,12.025348
2023-01-17,12.262645
2023-01-18,9.605836
2023-01-19,8.7524605
2023-01-20,8.356692
2023-01-21,7.9578285
2023-01-22,7.032355
2023-01-23,7.682364
2023-01-24,9.930993
2023-01-25,10.155032
2023-01-26,8.551145
2023-01-27,7.7441993
2023-01-28,7.619076
2023-01-29,8.9189415
2023-01-30,9.269498
2023-01-31,10.469409
2023-02-01,11.256526
2023-02-02,10.909547
2023-02-03,11.501849
2023-02-04,12.28455
2023-02-05,11.765494
2023-02-06,10.40323
2023-02-07,10.193122
2023-02-08,9.869611
2023-02-09,8.948292
2023-02-10,9.357041
2023-02-11,10.281756
2023-02-12,10.841025
2023-02-13,11.659824
2023-02-14,11.631416
2023-02-15,11.863715
2023-02-16,12.492864
2023-02-17,12.396294
2023-02-18,13.509128
2023-02-19,13.923209
2023-02-20,12.591168
2023-02-21,13.014039
2023-02-22,12.806671
2023-02-23,12.745618
2023-02-24,13.080189
2023-02-25,12.196406
2023-02-26,8.971168
2023-02-27,7.883516
2023-02-28,9.554657
2023-03-01,9.350226
2023-03-02,9.720016
2023-03-03,11.133689
2023-03-04,11.4586525
2023-03-05,11.756169
2023-03-06,11.6877985
2023-03-07,12.167502
2023-03-08,13.061481
2023-03-09,13.975392
2023-03-10,14.881553
2023-03-11,15.547589
2023-03-12,14.517188
2023-03-13,14.747504
2023-03-14,13.412183
2023-03-15,12.7264595
2023-03-16,13.157165
2023-03-17,13.460767
2023-03-18,13.446012
2023-03-19,13.408924
2023-03-20,13.48832
2023-03-21,13.448715
2023-03-22,13.896758
2023-03-23,14.206104
2023-03-24,14.588051
2023-03-25,14.200601
2023-03-26,14.299531
2023-03-27,12.962739
2023-03-28,11.192676
2023-03-29,13.904682
