date,t2m_daily_mean_C
2023-01-01,8.716504
2023-01-02,7.461638
2023-01-03,7.8107705
2023-01-04,9.665833
2023-01-05,8.412288
2023-01-06,8.6225195
2023-01-07,9.157611
2023-01-08,7.9625726
2023-01-09,7.495566
2023-01-10,8.39027
2023-01-11,8.220288
2023-01-12,8.263191
2023-01-13,7.8162665
2023-01-14,7.4604125
2023-01-15,6.387881
2023-01-16,5.0504127
2023-01-17,3.521352
2023-01-18,5.1882744
2023-01-19,4.6874375
2023-01-20,5.9288764
2023-01-21,5.256006
2023-01-22,4.4303856
2023-01-23,4.6100984
2023-01-24,6.2887406
2023-01-25,7.2124863
2023-01-26,7.139524
2023-01-27,6.1453223
2023-01-28,6.6196456
2023-01-29,6.915605
2023-01-30,7.0564446
2023-01-31,7.317309
2023-02-01,7.0358224
2023-02-02,7.6282973
2023-02-03,8.093808
2023-02-04,7.1016884
2023-02-05,6.850292
2023-02-06,5.8972077
2023-02-07,6.302171
2023-02-08,5.8649726
2023-02-09,6.517872
2023-02-10,6.933946
2023-02-11,7.6107764
2023-02-12,6.7090263
2023-02-13,6.3876076
2023-02-14,6.671537
2023-02-15,7.0119896
2023-02-16,7.047796
2023-02-17,8.272351
2023-02-18,5.5399704
2023-02-19,6.8034987
2023-02-20,8.753848
2023-02-21,7.5481377
2023-02-22,6.637156
2023-02-23,6.3365197
2023-02-24,6.56375
2023-02-25,5.638626
2023-02-26,5.9579024
2023-02-27,6.6046257
2023-02-28,6.4693704
2023-03-01,6.2503724
2023-03-02,5.0785766
2023-03-03,6.242901
2023-03-04,5.9158463
2023-03-05,4.8798676
2023-03-06,4.290419
2023-03-07,2.986838
2023-03-08,2.8845608
2023-03-09,3.669403
2023-03-10,3.0687268
2023-03-11,4.3525214
2023-03-12,6.4583497
2023-03-13,8.532172
2023-03-14,4.483228
2023-03-15,5.1877227
2023-03-16,7.24359
2023-03-17,7.4797287
2023-03-18,7.17054
2023-03-19,6.962065
2023-03-20,6.7384834
2023-03-21,7.8141937
2023-03-22,8.454864
2023-03-23,8.323292
2023-03-24,8.18172
2023-03-25,7.1386704
2023-03-26,5.5513215
2023-03-27,4.837658
2023-03-28,6.235237
2023-03-29,7.5972276
2023-03-30,8.013179
2023-03-31,7.177929
2023-04-01,6.286695
2023-04-02,6.0807824
2023-04-03,6.0224724
2023-04-04,5.851883
2023-04-05,5.932663
2023-04-06,6.936741
2023-04-07,7.077563
2023-04-08,6.703283
2023-04-09,7.042002
2023-04-10,8.279399
2023-04-11,7.474192
2023-04-12,7.254883
2023-04-13,7.2098083
2023-04-14,7.7080483
2023-04-15,7.352539
2023-04-16,7.3040366
2023-04-17,7.716166
2023-04-18,8.5008745
2023-04-19,8.528239
2023-04-20,8.789248
2023-04-21,9.533952
2023-04-22,8.689708
2023-04-23,8.275685
2023-04-24,7.280329
2023-04-25,6.0054092
2023-04-26,5.999746
2023-04-27,7.0239563
2023-04-28,7.480062
2023-04-29,7.4693108
2023-04-30,8.163747
2023-05-01,8.646312
2023-05-02,7.4785767
2023-05-03,7.6008096
2023-05-04,7.9673867
2023-05-05,9.385986
2023-05-06,9.154277
2023-05-07,9.4948225
2023-05-08,9.411784
2023-05-09,9.593852
2023-05-10,9.675456
2023-05-11,8.992015
2023-05-12,9.084117
2023-05-13,7.8101096
2023-05-14,7.5054626
2023-05-15,9.233627
2023-05-16,9.405629
2023-05-17,8.76947
2023-05-18,9.66038
2023-05-19,10.042562
2023-05-20,10.529765
2023-05-21,10.742045
2023-05-22,10.664083
2023-05-23,10.225525
2023-05-24,11.076965
2023-05-25,10.953807
2023-05-26,11.280171
2023-05-27,11.234955
2023-05-28,11.116841
2023-05-29,10.761434
2023-05-30,11.143788
2023-05-31,10.478435
2023-06-01,10.511912
2023-06-02,10.469116
2023-06-03,10.174754
2023-06-04,10.294881
2023-06-05,10.353424
2023-06-06,10.664205
