date,t2m_daily_mean_C
2023-01-01,15.89375
2023-01-02,15.988494
2023-01-03,15.155986
2023-01-04,14.852845
2023-01-05,15.647883
2023-01-06,15.636191
2023-01-07,15.674863
2023-01-08,15.113045
2023-01-09,15.281129
2023-01-10,15.866833
2023-01-11,14.0594
2023-01-12,13.937508
2023-01-13,13.505394
2023-01-14,13.822147
2023-01-15,14.137799
2023-01-16,14.854611
2023-01-17,15.9888
2023-01-18,16.23572
2023-01-19,16.447691
2023-01-20,15.589847
2023-01-21,15.096663
2023-01-22,15.485724
2023-01-23,15.559724
2023-01-24,15.67253
2023-01-25,15.098473
2023-01-26,15.978554
2023-01-27,15.1082945
2023-01-28,14.8598795
2023-01-29,13.09985
2023-01-30,11.910449
2023-01-31,11.972095
2023-02-01,10.890315
2023-02-02,13.07776
2023-02-03,13.447812
2023-02-04,13.136112
2023-02-05,11.152782
2023-02-06,8.76171
2023-02-07,9.024502
2023-02-08,8.795799
2023-02-09,9.816537
2023-02-10,11.834255
2023-02-11,11.184262
2023-02-12,11.252076
2023-02-13,11.954583
2023-02-14,12.224759
2023-02-15,11.935004
2023-02-16,12.021184
2023-02-17,12.974663
2023-02-18,13.768486
2023-02-19,14.203401
2023-02-20,14.1461
2023-02-21,14.681113
2023-02-22,14.467316
2023-02-23,14.281995
2023-02-24,14.3175745
2023-02-25,13.979935
2023-02-26,15.270402
2023-02-27,15.4635935
2023-02-28,15.517711
2023-03-01,15.66468
2023-03-02,15.48328
2023-03-03,14.770977
2023-03-04,14.787998
2023-03-05,14.8155775
2023-03-06,14.915908
2023-03-07,14.639996
2023-03-08,15.343301
2023-03-09,14.742564
2023-03-10,15.381959
2023-03-11,15.695621
2023-03-12,15.421891
2023-03-13,12.993842
2023-03-14,12.571933
2023-03-15,14.084207
2023-03-16,14.161071
2023-03-17,13.152417
2023-03-18,12.883919
2023-03-19,13.445952
2023-03-20,14.736774
2023-03-21,15.03864
2023-03-22,15.276641
2023-03-23,14.886849
2023-03-24,14.790688
2023-03-25,15.409748
2023-03-26,15.804414
2023-03-27,15.958915
2023-03-28,15.630582
2023-03-29,11.753966
2023-03-30,13.1914015
2023-03-31,14.617138
2023-04-01,15.331861
2023-04-02,16.41916
2023-04-03,17.189709
2023-04-04,14.931717
2023-04-05,15.214971
2023-04-06,14.965224
2023-04-07,14.134773
2023-04-08,14.315587
2023-04-09,14.696706
2023-04-10,14.35142
2023-04-11,13.00528
2023-04-12,15.392659
2023-04-13,15.514496
2023-04-14,15.731648
2023-04-15,16.214355
2023-04-16,15.419678
2023-04-17,15.588237
2023-04-18,15.731506
2023-04-19,15.962972
2023-04-20,15.78054
2023-04-21,15.556576
2023-04-22,16.372568
2023-04-23,16.412241
2023-04-24,16.505753
2023-04-25,16.833046
2023-04-26,16.890451
2023-04-27,16.015493
2023-04-28,15.169922
2023-04-29,15.52172
2023-04-30,15.764821
2023-05-01,15.908437
2023-05-02,16.185852
2023-05-03,17.139465
2023-05-04,16.825949
2023-05-05,16.658447
2023-05-06,16.322815
2023-05-07,16.847849
2023-05-08,17.573812
2023-05-09,17.02419
2023-05-10,16.463217
2023-05-11,16.45637
2023-05-12,16.65972
2023-05-13,17.264212
2023-05-14,18.313974
2023-05-15,18.818506
2023-05-16,17.92508
2023-05-17,18.119242
2023-05-18,18.012268
2023-05-19,18.223063
2023-05-20,18.709208
2023-05-21,17.87087
2023-05-22,17.522318
2023-05-23,17.647726
2023-05-24,17.94155
2023-05-25,18.249624
2023-05-26,18.515604
2023-05-27,18.95696
2023-05-28,19.180563
2023-05-29,19.076538
2023-05-30,18.95108
2023-05-31,18.660482
2023-06-01,18.627472
2023-06-02,18.496948
2023-06-03,19.410837
2023-06-04,20.045776
2023-06-05,20.306305
2023-06-06,20.54596
2023-06-07,20.52952
2023-06-08,20.766214
2023-06-09,21.246786
2023-06-10,21.510904
2023-06-11,21.40561
2023-06-12,21.531881
2023-06-13,22.128418
2023-06-14,22.221588
2023-06-15,21.654978
2023-06-16,22.484741
2023-06-17,22.197805
2023-06-18,21.322428
2023-06-19,22.634897
2023-06-20,23.284475
2023-06-21,23.197775
2023-06-22,23.3449
2023-06-23,23.757843
2023-06-24,23.245321
2023-06-25,23.023346
2023-06-26,23.206217
2023-06-27,24.219696
2023-06-28,23.766378
2023-06-29,23.83609
2023-06-30,23.89148
2023-07-01,23.414276
2023-07-02,23.744934
2023-07-03,23.52065
2023-07-04,24.125448
2023-07-05,24.6362
2023-07-06,25.66163
2023-07-07,26.476847
2023-07-08,25.835632
2023-07-09,24.591898
2023-07-10,24.744019
2023-07-11,25.121012
2023-07-12,26.00109
2023-07-13,27.079712
2023-07-14,27.92739
2023-07-15,28.522287
2023-07-16,27.09545
2023-07-17,26.30604
2023-07-18,25.925436
2023-07-19,26.61793
2023-07-20,26.633158
2023-07-21,28.188272
2023-07-22,28.757986
2023-07-23,29.529175
2023-07-24,28.354147
2023-07-25,27.788443
2023-07-26,27.331888
2023-07-27,27.012817
2023-07-28,26.30659
2023-07-29,26.296213
2023-07-30,26.40918
2023-07-31,26.979624
2023-08-01,26.5176
2023-08-02,25.87789
2023-08-03,25.66033
2023-08-04,25.764853
2023-08-05,26.072824
2023-08-06,25.839834
2023-08-07,25.644491
2023-08-08,25.581879
2023-08-09,25.658295
2023-08-10,25.71293
2023-08-11,25.28773
2023-08-12,25.214243
2023-08-13,25.068136
2023-08-14,25.012777
2023-08-15,25.707132
2023-08-16,26.353668
2023-08-17,26.233774
2023-08-18,25.97405
2023-08-19,26.095123
2023-08-20,26.283792
2023-08-21,26.36091
2023-08-22,26.412558
2023-08-23,26.525492
2023-08-24,26.834421
2023-08-25,27.36441
2023-08-26,27.130758
2023-08-27,27.440134
2023-08-28,27.423758
2023-08-29,26.353708
2023-08-30,25.894705
2023-08-31,25.656912
2023-09-01,26.181345
2023-09-02,26.07721
2023-09-03,25.40795
2023-09-04,25.082754
2023-09-05,24.741598
2023-09-06,25.614553
2023-09-07,25.493256
2023-09-08,25.291199
2023-09-09,25.080423
2023-09-10,24.660177
2023-09-11,24.349405
2023-09-12,23.929495
2023-09-13,24.420523
2023-09-14,25.300375
2023-09-15,26.013437
2023-09-16,26.19288
2023-09-17,24.716919
2023-09-18,23.562521
2023-09-19,23.135794
2023-09-20,23.866598
2023-09-21,24.864431
2023-09-22,25.971975
2023-09-23,26.562042
2023-09-24,26.539133
2023-09-25,24.772919
2023-09-26,24.045715
2023-09-27,23.524973
2023-09-28,23.714865
2023-09-29,22.678305
2023-09-30,22.944998
2023-10-01,23.403738
2023-10-02,23.261393
2023-10-03,22.244263
2023-10-04,22.341654
2023-10-05,22.263968
2023-10-06,22.09616
2023-10-07,22.441345
2023-10-08,22.326773
2023-10-09,22.994467
2023-10-10,22.374044
2023-10-11,21.647064
2023-10-12,21.38148
2023-10-13,21.142338
2023-10-14,21.32227
2023-10-15,22.36265
2023-10-16,22.659052
2023-10-17,21.892418
2023-10-18,22.246012
2023-10-19,21.037039
2023-10-20,22.426622
2023-10-21,22.150187
2023-10-22,22.646643
2023-10-23,22.868423
2023-10-24,22.577185
2023-10-25,22.481543
2023-10-26,22.505724
2023-10-27,22.699991
2023-10-28,22.200838
2023-10-29,21.975975
2023-10-30,21.95098
2023-10-31,21.982294
2023-11-01,22.633337
2023-11-02,22.587341
2023-11-03,22.663528
2023-11-04,23.856903
2023-11-05,22.440138
2023-11-06,21.928635
2023-11-07,21.582006
2023-11-08,21.139732
2023-11-09,21.421143
2023-11-10,21.328209
2023-11-11,21.955935
2023-11-12,21.687698
2023-11-13,21.067928
2023-11-14,20.264885
2023-11-15,21.259409
2023-11-16,20.900112
2023-11-17,20.434061
2023-11-18,19.808294
2023-11-19,15.6251745
2023-11-20,18.050673
2023-11-21,19.977833
2023-11-22,20.48439
2023-11-23,20.352415
2023-11-24,19.05379
2023-11-25,19.44741
2023-11-26,16.69027
2023-11-27,15.284543
2023-11-28,17.61551
2023-11-29,19.174128
2023-11-30,19.710964
2023-12-01,18.818048
2023-12-02,18.93767
2023-12-03,19.54259
2023-12-04,18.912523
2023-12-05,17.90738
2023-12-06,17.967722
2023-12-07,17.483915
2023-12-08,15.776149
2023-12-09,14.852294
2023-12-10,15.036312
2023-12-11,15.737393
2023-12-12,17.257383
2023-12-13,18.011084
2023-12-14,18.800125
2023-12-15,18.898228
2023-12-16,18.322538
2023-12-17,15.466503
2023-12-18,15.269818
2023-12-19,16.666756
2023-12-20,16.45387
2023-12-21,15.554962
2023-12-22,16.831026
2023-12-23,17.576784
2023-12-24,17.523315
2023-12-25,17.32171
2023-12-26,17.36799
2023-12-27,17.308456
2023-12-28,17.078276
2023-12-29,16.610107
2023-12-30,16.764517
2023-12-31,16.570532
