date,t2m_daily_mean_C
2023-01-01,4.919792
2023-01-02,3.5553067
2023-01-03,1.9127401
2023-01-04,1.0306612
2023-01-05,1.2092438
2023-01-06,1.3624281
2023-01-07,1.3982519
2023-01-08,1.3629633
2023-01-09,-0.34484735
2023-01-10,-0.7448209
2023-01-11,-1.1436437
2023-01-12,-0.5394618
2023-01-13,-0.5451431
2023-01-14,1.1723264
2023-01-15,-0.6366145
2023-01-16,-2.6546657
2023-01-17,-3.0586445
2023-01-18,-8.195189
2023-01-19,-7.3793755
2023-01-20,-5.302162
2023-01-21,-9.21421
2023-01-22,-6.855829
2023-01-23,-7.630136
2023-01-24,-6.672522
2023-01-25,-5.658526
2023-01-26,-4.7177353
2023-01-27,-4.942243
2023-01-28,-4.7262206
2023-01-29,-5.90072
2023-01-30,-5.3086267
2023-01-31,-1.8817469
2023-02-01,-1.7450205
2023-02-02,-2.2892647
2023-02-03,-0.14056651
2023-02-04,0.46545792
2023-02-05,0.4847323
2023-02-06,-1.1778246
2023-02-07,-3.8855731
2023-02-08,-4.015236
2023-02-09,-3.831412
2023-02-10,-5.706272
2023-02-11,-2.2650375
2023-02-12,-1.0334053
2023-02-13,0.9008725
2023-02-14,1.4642614
2023-02-15,0.72667056
2023-02-16,0.34467062
2023-02-17,2.3407924
2023-02-18,3.9785283
2023-02-19,4.6748366
2023-02-20,6.200544
2023-02-21,6.5354424
2023-02-22,4.7290344
2023-02-23,1.5840784
2023-02-24,-2.6284702
2023-02-25,-4.690394
2023-02-26,-3.5287514
2023-02-27,-8.850452
2023-02-28,-5.2617493
2023-03-01,-4.7255387
2023-03-02,-4.820024
2023-03-03,-2.886575
2023-03-04,-1.9920311
2023-03-05,-1.2802887
2023-03-06,-0.54559964
2023-03-07,-0.15720494
2023-03-08,5.146605
2023-03-09,4.8861184
2023-03-10,4.3997817
2023-03-11,6.1280746
2023-03-12,9.9271
2023-03-13,8.875352
2023-03-14,3.410637
2023-03-15,5.9638457
2023-03-16,7.9885445
2023-03-17,5.684237
2023-03-18,4.415901
2023-03-19,4.2923875
2023-03-20,6.7504463
2023-03-21,7.512029
2023-03-22,6.9621873
2023-03-23,9.672657
2023-03-24,7.860186
2023-03-25,6.1350083
2023-03-26,5.505586
2023-03-27,4.42742
2023-03-28,6.327685
2023-03-29,10.2206
2023-03-30,10.48201
2023-03-31,8.952587
2023-04-01,4.2014084
2023-04-02,1.8927943
2023-04-03,3.2410595
2023-04-04,3.2802684
2023-04-05,4.0029755
2023-04-06,6.1342506
2023-04-07,6.8306556
2023-04-08,7.8352
2023-04-09,8.690196
2023-04-10,10.642192
2023-04-11,10.450348
2023-04-12,7.9388833
2023-04-13,1.5902609
2023-04-14,4.2970786
2023-04-15,5.1259766
2023-04-16,4.8191733
2023-04-17,5.859314
2023-04-18,5.238749
2023-04-19,7.6263022
2023-04-20,9.081241
2023-04-21,10.169857
2023-04-22,7.3112082
2023-04-23,7.2349954
2023-04-24,8.758519
2023-04-25,11.363808
2023-04-26,11.799632
2023-04-27,13.998158
2023-04-28,15.213704
2023-04-29,14.372712
2023-04-30,10.557465
2023-05-01,9.149078
2023-05-02,11.388326
2023-05-03,13.372539
2023-05-04,13.567403
2023-05-05,13.708496
2023-05-06,13.602112
2023-05-07,10.574574
2023-05-08,12.274414
2023-05-09,10.673198
2023-05-10,7.6794434
2023-05-11,6.417063
2023-05-12,4.5573425
2023-05-13,5.37204
2023-05-14,6.951182
2023-05-15,7.574366
2023-05-16,6.020864
2023-05-17,5.779724
2023-05-18,5.061422
2023-05-19,5.5125327
2023-05-20,7.3122354
2023-05-21,9.207295
2023-05-22,9.563416
2023-05-23,9.672465
2023-05-24,10.570618
2023-05-25,8.7134905
2023-05-26,10.208394
2023-05-27,12.885509
2023-05-28,11.287496
2023-05-29,10.565227
2023-05-30,10.7933655
2023-05-31,10.381267
2023-06-01,9.484813
2023-06-02,10.993693
2023-06-03,10.435333
2023-06-04,11.418742
2023-06-05,11.508046
2023-06-06,11.568013
2023-06-07,11.9331665
2023-06-08,12.828471
2023-06-09,13.263306
2023-06-10,14.002686
2023-06-11,12.768646
2023-06-12,13.37083
2023-06-13,12.198486
2023-06-14,13.250722
2023-06-15,14.8229475
2023-06-16,16.300253
2023-06-17,16.474741
2023-06-18,14.556233
2023-06-19,13.721324
2023-06-20,15.943329
2023-06-21,16.461203
2023-06-22,15.580007
2023-06-23,17.495066
2023-06-24,19.428915
2023-06-25,20.508047
2023-06-26,19.782959
2023-06-27,17.956268
2023-06-28,17.237488
2023-06-29,15.220775
2023-06-30,13.549683
2023-07-01,15.366099
2023-07-02,17.691711
2023-07-03,16.956848
2023-07-04,15.681763
2023-07-05,15.72702
2023-07-06,14.91684
2023-07-07,15.387004
2023-07-08,19.278177
2023-07-09,21.229757
2023-07-10,21.670532
2023-07-11,23.386312
2023-07-12,20.298126
2023-07-13,18.472534
2023-07-14,18.945292
2023-07-15,19.144928
2023-07-16,18.22175
2023-07-17,20.680063
2023-07-18,23.809793
2023-07-19,23.88209
2023-07-20,19.866068
2023-07-21,18.176798
2023-07-22,16.934336
2023-07-23,18.612265
2023-07-24,19.536356
2023-07-25,14.745148
2023-07-26,16.054138
2023-07-27,16.883585
2023-07-28,17.33727
2023-07-29,19.868723
2023-07-30,19.64388
2023-07-31,19.681854
2023-08-01,19.065207
2023-08-02,19.996216
2023-08-03,16.488455
2023-08-04,11.747192
2023-08-05,15.221181
2023-08-06,15.997792
2023-08-07,16.144247
2023-08-08,18.81959
2023-08-09,22.36622
2023-08-10,24.404907
2023-08-11,22.111786
2023-08-12,21.467987
2023-08-13,20.547628
2023-08-14,19.74064
2023-08-15,19.536316
2023-08-16,19.940826
2023-08-17,21.067514
2023-08-18,22.014008
2023-08-19,23.256418
2023-08-20,23.093607
2023-08-21,22.424875
2023-08-22,21.478476
2023-08-23,21.09613
2023-08-24,22.918081
2023-08-25,21.559479
2023-08-26,16.118143
2023-08-27,9.821889
2023-08-28,11.463959
2023-08-29,11.635529
2023-08-30,12.784027
2023-08-31,14.590831
2023-09-01,15.367381
2023-09-02,12.135559
2023-09-03,15.703033
2023-09-04,19.341623
2023-09-05,18.798319
2023-09-06,17.710989
2023-09-07,17.15455
2023-09-08,17.096292
2023-09-09,17.730246
