date,t2m_daily_mean_C
2023-01-01,10.621941
2023-01-02,11.202361
2023-01-03,11.19041
2023-01-04,10.090476
2023-01-05,9.177913
2023-01-06,9.159141
2023-01-07,10.761289
2023-01-08,12.434497
2023-01-09,15.037721
2023-01-10,13.038138
2023-01-11,12.147616
2023-01-12,11.121427
2023-01-13,10.177676
2023-01-14,9.810429
2023-01-15,11.433047
2023-01-16,11.263141
2023-01-17,12.579457
2023-01-18,7.7618423
2023-01-19,7.5069366
2023-01-20,10.991132
2023-01-21,10.301904
2023-01-22,6.6461244
2023-01-23,4.812084
2023-01-24,3.7648964
2023-01-25,4.9839706
2023-01-26,5.416298
2023-01-27,5.899798
2023-01-28,5.1926436
2023-01-29,4.6851363
2023-01-30,5.6692376
2023-01-31,6.7765374
2023-02-01,6.6903634
2023-02-02,6.786663
2023-02-03,7.6406837
2023-02-04,8.487594
2023-02-05,9.475455
2023-02-06,7.772859
2023-02-07,6.786546
2023-02-08,8.203189
2023-02-09,7.623178
2023-02-10,5.8825135
2023-02-11,7.02313
2023-02-12,8.718792
2023-02-13,8.444085
2023-02-14,9.16698
2023-02-15,9.7947855
2023-02-16,10.068466
2023-02-17,9.689018
2023-02-18,11.469739
2023-02-19,11.86193
2023-02-20,12.814801
2023-02-21,13.333782
2023-02-22,12.258983
2023-02-23,11.485364
2023-02-24,7.955026
2023-02-25,6.467321
2023-02-26,8.767798
2023-02-27,6.810599
2023-02-28,6.803762
2023-03-01,6.4139466
2023-03-02,6.3949013
2023-03-03,7.308005
2023-03-04,8.290359
2023-03-05,9.256007
2023-03-06,11.672092
2023-03-07,14.792095
2023-03-08,15.935668
2023-03-09,15.78773
2023-03-10,17.406374
2023-03-11,18.080873
2023-03-12,17.77435
2023-03-13,18.555609
2023-03-14,15.805493
2023-03-15,14.946674
2023-03-16,15.507262
2023-03-17,14.490715
2023-03-18,12.608203
2023-03-19,11.928536
2023-03-20,12.216348
2023-03-21,13.064682
2023-03-22,14.222198
2023-03-23,15.467254
2023-03-24,17.439695
2023-03-25,17.161295
2023-03-26,18.948132
2023-03-27,15.46746
2023-03-28,14.418587
2023-03-29,15.942849
2023-03-30,18.434076
2023-03-31,20.774038
2023-04-01,19.381096
2023-04-02,15.919894
2023-04-03,13.346284
2023-04-04,13.177241
2023-04-05,12.741745
2023-04-06,13.405654
2023-04-07,13.722664
2023-04-08,15.615962
2023-04-09,16.995047
2023-04-10,19.884298
2023-04-11,19.155344
2023-04-12,20.548666
2023-04-13,17.247812
2023-04-14,16.945679
2023-04-15,18.4917
2023-04-16,16.341715
2023-04-17,14.611836
2023-04-18,14.367818
2023-04-19,16.103922
2023-04-20,17.291039
2023-04-21,17.839941
2023-04-22,18.247568
2023-04-23,18.19992
2023-04-24,18.835098
2023-04-25,20.961708
2023-04-26,22.20751
2023-04-27,22.291616
2023-04-28,24.175537
2023-04-29,24.684723
2023-04-30,20.880707
2023-05-01,19.335928
2023-05-02,20.094788
2023-05-03,19.51357
2023-05-04,18.513367
2023-05-05,19.84147
2023-05-06,19.687723
2023-05-07,19.457712
2023-05-08,20.010416
2023-05-09,22.524109
2023-05-10,20.444336
2023-05-11,18.673574
2023-05-12,16.8591
2023-05-13,13.931691
2023-05-14,14.58611
2023-05-15,17.361557
2023-05-16,17.633493
2023-05-17,16.83018
2023-05-18,14.753479
2023-05-19,13.0165205
2023-05-20,13.451965
2023-05-21,13.758159
2023-05-22,13.3723345
2023-05-23,14.06602
2023-05-24,15.252095
2023-05-25,16.482697
2023-05-26,17.418274
2023-05-27,16.874765
2023-05-28,16.770569
2023-05-29,17.741577
2023-05-30,17.370108
2023-05-31,17.770508
2023-06-01,17.451609
2023-06-02,16.562704
2023-06-03,17.024607
2023-06-04,17.819132
2023-06-05,19.080881
2023-06-06,20.142965
2023-06-07,17.576233
2023-06-08,19.623148
2023-06-09,20.908243
2023-06-10,22.102865
2023-06-11,22.524588
2023-06-12,22.009745
2023-06-13,22.470133
2023-06-14,22.772858
2023-06-15,23.738556
2023-06-16,24.578085
2023-06-17,25.375132
2023-06-18,23.008627
2023-06-19,22.99175
2023-06-20,24.402151
2023-06-21,23.122416
2023-06-22,23.37086
2023-06-23,24.781769
2023-06-24,25.454956
2023-06-25,26.56314
2023-06-26,27.283041
2023-06-27,27.434296
2023-06-28,27.13324
2023-06-29,26.29898
2023-06-30,24.941284
2023-07-01,24.494354
2023-07-02,25.731833
2023-07-03,25.785543
2023-07-04,26.822226
2023-07-05,25.67217
2023-07-06,25.27418
2023-07-07,25.786581
2023-07-08,26.406351
2023-07-09,27.70518
2023-07-10,29.83964
2023-07-11,30.994467
2023-07-12,32.523468
2023-07-13,27.700155
2023-07-14,27.097555
2023-07-15,28.607412
2023-07-16,28.283112
2023-07-17,29.91395
2023-07-18,30.282206
2023-07-19,31.776297
2023-07-20,31.668966
2023-07-21,29.546997
2023-07-22,26.711435
2023-07-23,27.638468
2023-07-24,30.747131
2023-07-25,27.742868
2023-07-26,25.838318
2023-07-27,25.993204
2023-07-28,26.096628
2023-07-29,27.025787
2023-07-30,28.684326
2023-07-31,27.705618
2023-08-01,29.54364
2023-08-02,29.686157
2023-08-03,29.51596
2023-08-04,25.238077
2023-08-05,24.843088
2023-08-06,26.830475
2023-08-07,26.0566
2023-08-08,27.413015
2023-08-09,28.745127
2023-08-10,30.9281
2023-08-11,28.840708
2023-08-12,26.620413
2023-08-13,25.937845
2023-08-14,26.437418
2023-08-15,26.607767
2023-08-16,26.410797
2023-08-17,26.623016
2023-08-18,28.151133
2023-08-19,28.447336
2023-08-20,27.92279
2023-08-21,27.984772
2023-08-22,28.17517
2023-08-23,28.00946
2023-08-24,27.626333
2023-08-25,28.918692
2023-08-26,29.591776
2023-08-27,26.629831
2023-08-28,23.086273
2023-08-29,23.295847
2023-08-30,22.555023
2023-08-31,23.097992
2023-09-01,23.821157
2023-09-02,21.728006
2023-09-03,20.075186
2023-09-04,23.762278
2023-09-05,22.956198
2023-09-06,23.635956
2023-09-07,23.182465
2023-09-08,22.855246
2023-09-09,23.615335
2023-09-10,23.713724
2023-09-11,23.95878
2023-09-12,23.846079
2023-09-13,22.902863
2023-09-14,23.736328
2023-09-15,23.497488
2023-09-16,23.199554
2023-09-17,23.639608
2023-09-18,22.639994
2023-09-19,20.93682
2023-09-20,21.230856
2023-09-21,22.652273
2023-09-22,21.79017
2023-09-23,20.613394
2023-09-24,21.053701
2023-09-25,21.621552
2023-09-26,21.267477
2023-09-27,20.966623
2023-09-28,21.62673
2023-09-29,22.460205
2023-09-30,22.860931
2023-10-01,22.813242
2023-10-02,22.692057
2023-10-03,22.11788
2023-10-04,21.918966
2023-10-05,21.416555
2023-10-06,23.020395
2023-10-07,22.408548
2023-10-08,20.820913
2023-10-09,19.707275
2023-10-10,19.236593
2023-10-11,19.631927
2023-10-12,19.89393
2023-10-13,20.477299
2023-10-14,19.559168
2023-10-15,19.07009
2023-10-16,20.465368
2023-10-17,21.595055
2023-10-18,20.855062
2023-10-19,18.386404
2023-10-20,16.075792
2023-10-21,14.4123955
2023-10-22,15.675205
2023-10-23,16.873875
2023-10-24,15.681675
2023-10-25,17.613379
2023-10-26,18.702095
2023-10-27,17.751911
2023-10-28,15.111809
2023-10-29,15.253726
2023-10-30,16.768116
2023-10-31,14.323605
2023-11-01,16.622921
2023-11-02,18.058125
2023-11-03,14.895055
2023-11-04,16.68161
2023-11-05,15.580762
2023-11-06,12.609299
2023-11-07,11.2364645
2023-11-08,10.944501
2023-11-09,14.910073
2023-11-10,16.47046
2023-11-11,17.77934
2023-11-12,17.779171
2023-11-13,16.949194
2023-11-14,17.635653
2023-11-15,17.324268
2023-11-16,15.970017
2023-11-17,16.53782
2023-11-18,15.25084
2023-11-19,15.012626
2023-11-20,14.6808815
2023-11-21,13.726205
2023-11-22,11.680435
2023-11-23,9.671833
2023-11-24,10.905678
2023-11-25,12.700829
2023-11-26,11.143231
2023-11-27,12.839231
2023-11-28,14.453564
2023-11-29,14.682672
2023-11-30,15.699164
2023-12-01,13.958428
2023-12-02,9.49781
2023-12-03,7.956244
2023-12-04,9.715095
2023-12-05,10.204254
2023-12-06,10.860626
2023-12-07,12.714627
2023-12-08,13.579697
2023-12-09,12.443684
2023-12-10,12.83514
2023-12-11,14.566983
2023-12-12,16.845762
2023-12-13,12.7956705
2023-12-14,9.552485
2023-12-15,8.475783
2023-12-16,8.148141
2023-12-17,7.801708
2023-12-18,7.3048935
2023-12-19,7.7804437
2023-12-20,10.547866
2023-12-21,8.763051
2023-12-22,10.476697
2023-12-23,9.91679
2023-12-24,9.836629
2023-12-25,9.502618
2023-12-26,9.236805
2023-12-27,8.629257
2023-12-28,9.518216
2023-12-29,10.896321
2023-12-30,11.608185
2023-12-31,9.979222
