valid_time,date,hour,month,t2m_C
2023-01-01 00:00:00,2023-01-01,0,1,14.571045
2023-01-01 03:00:00,2023-01-01,3,1,13.625458
2023-01-01 06:00:00,2023-01-01,6,1,11.6866455
2023-01-01 09:00:00,2023-01-01,9,1,11.18045
2023-01-01 12:00:00,2023-01-01,12,1,12.227264
2023-01-01 15:00:00,2023-01-01,15,1,11.768463
2023-01-01 18:00:00,2023-01-01,18,1,11.034973
2023-01-01 21:00:00,2023-01-01,21,1,9.674683
2023-01-02 00:00:00,2023-01-02,0,1,10.846924
2023-01-02 03:00:00,2023-01-02,3,1,11.932343
2023-01-02 06:00:00,2023-01-02,6,1,9.57431
2023-01-02 09:00:00,2023-01-02,9,1,8.635468
2023-01-02 12:00:00,2023-01-02,12,1,9.734589
2023-01-02 15:00:00,2023-01-02,15,1,8.783966
2023-01-02 18:00:00,2023-01-02,18,1,6.422394
2023-01-02 21:00:00,2023-01-02,21,1,5.0377502
2023-01-03 00:00:00,2023-01-03,0,1,3.339447
2023-01-03 03:00:00,2023-01-03,3,1,2.0318298
2023-01-03 06:00:00,2023-01-03,6,1,2.8042603
2023-01-03 09:00:00,2023-01-03,9,1,5.205963
2023-01-03 12:00:00,2023-01-03,12,1,7.629669
2023-01-03 15:00:00,2023-01-03,15,1,8.059662
2023-01-03 18:00:00,2023-01-03,18,1,8.099823
2023-01-03 21:00:00,2023-01-03,21,1,8.647064
2023-01-04 00:00:00,2023-01-04,0,1,9.185028
2023-01-04 03:00:00,2023-01-04,3,1,10.290192
2023-01-04 06:00:00,2023-01-04,6,1,11.383759
2023-01-04 09:00:00,2023-01-04,9,1,11.744995
2023-01-04 12:00:00,2023-01-04,12,1,12.335205
2023-01-04 15:00:00,2023-01-04,15,1,12.089813
2023-01-04 18:00:00,2023-01-04,18,1,11.996429
2023-01-04 21:00:00,2023-01-04,21,1,11.448578
2023-01-05 00:00:00,2023-01-05,0,1,10.262726
2023-01-05 03:00:00,2023-01-05,3,1,10.156708
2023-01-05 06:00:00,2023-01-05,6,1,10.072449
2023-01-05 09:00:00,2023-01-05,9,1,10.093231
2023-01-05 12:00:00,2023-01-05,12,1,10.849213
2023-01-05 15:00:00,2023-01-05,15,1,10.208832
2023-01-05 18:00:00,2023-01-05,18,1,10.46048
2023-01-05 21:00:00,2023-01-05,21,1,10.448059
2023-01-06 00:00:00,2023-01-06,0,1,10.697144
2023-01-06 03:00:00,2023-01-06,3,1,10.878998
2023-01-06 06:00:00,2023-01-06,6,1,10.711273
2023-01-06 09:00:00,2023-01-06,9,1,9.708954
2023-01-06 12:00:00,2023-01-06,12,1,10.516357
2023-01-06 15:00:00,2023-01-06,15,1,9.652985
2023-01-06 18:00:00,2023-01-06,18,1,9.280609
2023-01-06 21:00:00,2023-01-06,21,1,10.363495
2023-01-07 00:00:00,2023-01-07,0,1,10.9453125
2023-01-07 03:00:00,2023-01-07,3,1,10.613861
2023-01-07 06:00:00,2023-01-07,6,1,10.04953
2023-01-07 09:00:00,2023-01-07,9,1,10.243378
2023-01-07 12:00:00,2023-01-07,12,1,11.254578
2023-01-07 15:00:00,2023-01-07,15,1,10.674469
2023-01-07 18:00:00,2023-01-07,18,1,9.687988
2023-01-07 21:00:00,2023-01-07,21,1,10.335114
2023-01-08 00:00:00,2023-01-08,0,1,9.401978
2023-01-08 03:00:00,2023-01-08,3,1,8.307159
2023-01-08 06:00:00,2023-01-08,6,1,7.325836
2023-01-08 09:00:00,2023-01-08,9,1,7.1996765
2023-01-08 12:00:00,2023-01-08,12,1,9.27655
2023-01-08 15:00:00,2023-01-08,15,1,8.979492
2023-01-08 18:00:00,2023-01-08,18,1,8.158844
2023-01-08 21:00:00,2023-01-08,21,1,7.6542664
2023-01-09 00:00:00,2023-01-09,0,1,7.2134705
2023-01-09 03:00:00,2023-01-09,3,1,5.2643127
2023-01-09 06:00:00,2023-01-09,6,1,6.2812195
2023-01-09 09:00:00,2023-01-09,9,1,6.7774963
2023-01-09 12:00:00,2023-01-09,12,1,7.579834
2023-01-09 15:00:00,2023-01-09,15,1,7.554291
2023-01-09 18:00:00,2023-01-09,18,1,6.7337646
2023-01-09 21:00:00,2023-01-09,21,1,6.6440125
2023-01-10 00:00:00,2023-01-10,0,1,6.5177307
2023-01-10 03:00:00,2023-01-10,3,1,6.617462
2023-01-10 06:00:00,2023-01-10,6,1,6.6159363
2023-01-10 09:00:00,2023-01-10,9,1,6.1510925
2023-01-10 12:00:00,2023-01-10,12,1,6.2182007
2023-01-10 15:00:00,2023-01-10,15,1,6.5975647
2023-01-10 18:00:00,2023-01-10,18,1,7.1931458
2023-01-10 21:00:00,2023-01-10,21,1,9.023376
2023-01-11 00:00:00,2023-01-11,0,1,10.719269
2023-01-11 03:00:00,2023-01-11,3,1,11.3133545
2023-01-11 06:00:00,2023-01-11,6,1,10.0173645
2023-01-11 09:00:00,2023-01-11,9,1,9.1189575
2023-01-11 12:00:00,2023-01-11,12,1,10.119904
2023-01-11 15:00:00,2023-01-11,15,1,9.585022
2023-01-11 18:00:00,2023-01-11,18,1,9.2691345
2023-01-11 21:00:00,2023-01-11,21,1,8.857788
2023-01-12 00:00:00,2023-01-12,0,1,9.14679
2023-01-12 03:00:00,2023-01-12,3,1,9.240906
2023-01-12 06:00:00,2023-01-12,6,1,9.863861
2023-01-12 09:00:00,2023-01-12,9,1,11.055878
2023-01-12 12:00:00,2023-01-12,12,1,11.309235
2023-01-12 15:00:00,2023-01-12,15,1,10.959473
2023-01-12 18:00:00,2023-01-12,18,1,10.94986
2023-01-12 21:00:00,2023-01-12,21,1,10.508453
2023-01-13 00:00:00,2023-01-13,0,1,8.842499
2023-01-13 03:00:00,2023-01-13,3,1,8.548157
2023-01-13 06:00:00,2023-01-13,6,1,8.387085
2023-01-13 09:00:00,2023-01-13,9,1,8.490997
2023-01-13 12:00:00,2023-01-13,12,1,9.301727
2023-01-13 15:00:00,2023-01-13,15,1,9.0607605
2023-01-13 18:00:00,2023-01-13,18,1,8.567169
2023-01-13 21:00:00,2023-01-13,21,1,8.468109
2023-01-14 00:00:00,2023-01-14,0,1,7.5403748
2023-01-14 03:00:00,2023-01-14,3,1,5.803467
2023-01-14 06:00:00,2023-01-14,6,1,6.5882874
2023-01-14 09:00:00,2023-01-14,9,1,7.0651855
2023-01-14 12:00:00,2023-01-14,12,1,9.286346
2023-01-14 15:00:00,2023-01-14,15,1,10.692474
2023-01-14 18:00:00,2023-01-14,18,1,10.662994
2023-01-14 21:00:00,2023-01-14,21,1,7.919342
2023-01-15 00:00:00,2023-01-15,0,1,7.368744
2023-01-15 03:00:00,2023-01-15,3,1,7.006195
2023-01-15 06:00:00,2023-01-15,6,1,6.4518433
2023-01-15 09:00:00,2023-01-15,9,1,6.114044
2023-01-15 12:00:00,2023-01-15,12,1,7.1187134
2023-01-15 15:00:00,2023-01-15,15,1,6.4702454
2023-01-15 18:00:00,2023-01-15,18,1,5.2721863
2023-01-15 21:00:00,2023-01-15,21,1,4.509186
2023-01-16 00:00:00,2023-01-16,0,1,4.1979065
2023-01-16 03:00:00,2023-01-16,3,1,3.3614197
2023-01-16 06:00:00,2023-01-16,6,1,3.644165
2023-01-16 09:00:00,2023-01-16,9,1,3.7434387
2023-01-16 12:00:00,2023-01-16,12,1,4.5341797
2023-01-16 15:00:00,2023-01-16,15,1,5.349243
2023-01-16 18:00:00,2023-01-16,18,1,3.8155212
2023-01-16 21:00:00,2023-01-16,21,1,3.9361267
2023-01-17 00:00:00,2023-01-17,0,1,3.2883606
2023-01-17 03:00:00,2023-01-17,3,1,2.2538757
2023-01-17 06:00:00,2023-01-17,6,1,1.613617
2023-01-17 09:00:00,2023-01-17,9,1,1.6819153
2023-01-17 12:00:00,2023-01-17,12,1,4.5871887
2023-01-17 15:00:00,2023-01-17,15,1,3.7444458
2023-01-17 18:00:00,2023-01-17,18,1,-0.4897766
2023-01-17 21:00:00,2023-01-17,21,1,-1.0617676
2023-01-18 00:00:00,2023-01-18,0,1,-1.2113342
2023-01-18 03:00:00,2023-01-18,3,1,-1.811676
2023-01-18 06:00:00,2023-01-18,6,1,-0.93707275
2023-01-18 09:00:00,2023-01-18,9,1,0.43307495
2023-01-18 12:00:00,2023-01-18,12,1,4.3371887
2023-01-18 15:00:00,2023-01-18,15,1,4.526306
2023-01-18 18:00:00,2023-01-18,18,1,4.2322693
2023-01-18 21:00:00,2023-01-18,21,1,3.9683533
2023-01-19 00:00:00,2023-01-19,0,1,3.5522766
2023-01-19 03:00:00,2023-01-19,3,1,3.3571472
2023-01-19 06:00:00,2023-01-19,6,1,3.3301697
2023-01-19 09:00:00,2023-01-19,9,1,3.5214539
2023-01-19 12:00:00,2023-01-19,12,1,5.0473022
2023-01-19 15:00:00,2023-01-19,15,1,4.00473
2023-01-19 18:00:00,2023-01-19,18,1,1.5716248
2023-01-19 21:00:00,2023-01-19,21,1,0.03805542
2023-01-20 00:00:00,2023-01-20,0,1,0.417511
2023-01-20 03:00:00,2023-01-20,3,1,0.49661255
2023-01-20 06:00:00,2023-01-20,6,1,1.0600281
2023-01-20 09:00:00,2023-01-20,9,1,1.3045349
2023-01-20 12:00:00,2023-01-20,12,1,1.9039612
2023-01-20 15:00:00,2023-01-20,15,1,1.4406738
2023-01-20 18:00:00,2023-01-20,18,1,1.3191528
2023-01-20 21:00:00,2023-01-20,21,1,0.08908081
2023-01-21 00:00:00,2023-01-21,0,1,-0.64086914
2023-01-21 03:00:00,2023-01-21,3,1,-1.7816162
2023-01-21 06:00:00,2023-01-21,6,1,-2.082672
2023-01-21 09:00:00,2023-01-21,9,1,-1.1754456
2023-01-21 12:00:00,2023-01-21,12,1,1.7795105
2023-01-21 15:00:00,2023-01-21,15,1,1.6345215
2023-01-21 18:00:00,2023-01-21,18,1,-0.5032959
2023-01-21 21:00:00,2023-01-21,21,1,-1.0638123
2023-01-22 00:00:00,2023-01-22,0,1,-1.0049744
2023-01-22 03:00:00,2023-01-22,3,1,0.15405273
2023-01-22 06:00:00,2023-01-22,6,1,0.2501526
2023-01-22 09:00:00,2023-01-22,9,1,0.559906
2023-01-22 12:00:00,2023-01-22,12,1,1.2816772
2023-01-22 15:00:00,2023-01-22,15,1,1.9343567
2023-01-22 18:00:00,2023-01-22,18,1,1.8755798
2023-01-22 21:00:00,2023-01-22,21,1,1.9074402
2023-01-23 00:00:00,2023-01-23,0,1,2.1042786
2023-01-23 03:00:00,2023-01-23,3,1,1.9238281
2023-01-23 06:00:00,2023-01-23,6,1,2.0297852
2023-01-23 09:00:00,2023-01-23,9,1,2.1699524
2023-01-23 12:00:00,2023-01-23,12,1,3.4223938
2023-01-23 15:00:00,2023-01-23,15,1,3.5436707
2023-01-23 18:00:00,2023-01-23,18,1,3.2969666
2023-01-23 21:00:00,2023-01-23,21,1,3.1782837
2023-01-24 00:00:00,2023-01-24,0,1,3.1090088
2023-01-24 03:00:00,2023-01-24,3,1,2.6324158
2023-01-24 06:00:00,2023-01-24,6,1,2.2731018
2023-01-24 09:00:00,2023-01-24,9,1,2.117218
2023-01-24 12:00:00,2023-01-24,12,1,1.686676
2023-01-24 15:00:00,2023-01-24,15,1,1.6109314
2023-01-24 18:00:00,2023-01-24,18,1,1.6579285
2023-01-24 21:00:00,2023-01-24,21,1,1.0776062
2023-01-25 00:00:00,2023-01-25,0,1,0.93252563
