valid_time,date,hour,month,t2m_C
2023-01-01 00:00:00,2023-01-01,0,1,11.270264
2023-01-01 03:00:00,2023-01-01,3,1,10.453583
2023-01-01 06:00:00,2023-01-01,6,1,10.010864
2023-01-01 09:00:00,2023-01-01,9,1,9.489044
2023-01-01 12:00:00,2023-01-01,12,1,11.14328
2023-01-01 15:00:00,2023-01-01,15,1,11.006744
2023-01-01 18:00:00,2023-01-01,18,1,9.468567
2023-01-01 21:00:00,2023-01-01,21,1,7.897339
2023-01-02 00:00:00,2023-01-02,0,1,6.846924
2023-01-02 03:00:00,2023-01-02,3,1,6.0846863
2023-01-02 06:00:00,2023-01-02,6,1,6.349701
2023-01-02 09:00:00,2023-01-02,9,1,5.483124
2023-01-02 12:00:00,2023-01-02,12,1,7.5256042
2023-01-02 15:00:00,2023-01-02,15,1,7.174591
2023-01-02 18:00:00,2023-01-02,18,1,4.131378
2023-01-02 21:00:00,2023-01-02,21,1,2.8190002
2023-01-03 00:00:00,2023-01-03,0,1,1.5171814
2023-01-03 03:00:00,2023-01-03,3,1,3.520111
2023-01-03 06:00:00,2023-01-03,6,1,5.458557
2023-01-03 09:00:00,2023-01-03,9,1,8.6024475
2023-01-03 12:00:00,2023-01-03,12,1,9.40506
2023-01-03 15:00:00,2023-01-03,15,1,10.299896
2023-01-03 18:00:00,2023-01-03,18,1,10.752167
2023-01-03 21:00:00,2023-01-03,21,1,11.674408
2023-01-04 00:00:00,2023-01-04,0,1,12.017059
2023-01-04 03:00:00,2023-01-04,3,1,11.979645
2023-01-04 06:00:00,2023-01-04,6,1,12.356415
2023-01-04 09:00:00,2023-01-04,9,1,12.57312
2023-01-04 12:00:00,2023-01-04,12,1,12.637939
2023-01-04 15:00:00,2023-01-04,15,1,12.216766
2023-01-04 18:00:00,2023-01-04,18,1,11.742523
2023-01-04 21:00:00,2023-01-04,21,1,10.5052185
2023-01-05 00:00:00,2023-01-05,0,1,10.547882
2023-01-05 03:00:00,2023-01-05,3,1,10.328583
2023-01-05 06:00:00,2023-01-05,6,1,9.504089
2023-01-05 09:00:00,2023-01-05,9,1,9.659637
2023-01-05 12:00:00,2023-01-05,12,1,12.023041
2023-01-05 15:00:00,2023-01-05,15,1,12.189301
2023-01-05 18:00:00,2023-01-05,18,1,11.226105
2023-01-05 21:00:00,2023-01-05,21,1,10.914856
2023-01-06 00:00:00,2023-01-06,0,1,10.82605
2023-01-06 03:00:00,2023-01-06,3,1,9.447357
2023-01-06 06:00:00,2023-01-06,6,1,6.658539
2023-01-06 09:00:00,2023-01-06,9,1,6.3905945
2023-01-06 12:00:00,2023-01-06,12,1,9.487061
2023-01-06 15:00:00,2023-01-06,15,1,10.305328
2023-01-06 18:00:00,2023-01-06,18,1,10.733734
2023-01-06 21:00:00,2023-01-06,21,1,11.584198
2023-01-07 00:00:00,2023-01-07,0,1,11.658203
2023-01-07 03:00:00,2023-01-07,3,1,11.553314
2023-01-07 06:00:00,2023-01-07,6,1,10.994843
2023-01-07 09:00:00,2023-01-07,9,1,10.204315
2023-01-07 12:00:00,2023-01-07,12,1,10.2838745
2023-01-07 15:00:00,2023-01-07,15,1,10.709625
2023-01-07 18:00:00,2023-01-07,18,1,8.580566
2023-01-07 21:00:00,2023-01-07,21,1,7.2862854
2023-01-08 00:00:00,2023-01-08,0,1,8.134399
2023-01-08 03:00:00,2023-01-08,3,1,7.8266907
2023-01-08 06:00:00,2023-01-08,6,1,7.200836
2023-01-08 09:00:00,2023-01-08,9,1,7.269989
2023-01-08 12:00:00,2023-01-08,12,1,8.65155
2023-01-08 15:00:00,2023-01-08,15,1,7.666992
2023-01-08 18:00:00,2023-01-08,18,1,5.9791565
2023-01-08 21:00:00,2023-01-08,21,1,5.0663757
2023-01-09 00:00:00,2023-01-09,0,1,6.006439
2023-01-09 03:00:00,2023-01-09,3,1,5.924469
2023-01-09 06:00:00,2023-01-09,6,1,5.039032
2023-01-09 09:00:00,2023-01-09,9,1,5.2052307
2023-01-09 12:00:00,2023-01-09,12,1,8.019287
2023-01-09 15:00:00,2023-01-09,15,1,7.839447
2023-01-09 18:00:00,2023-01-09,18,1,6.2337646
2023-01-09 21:00:00,2023-01-09,21,1,5.3803406
2023-01-10 00:00:00,2023-01-10,0,1,4.6407776
2023-01-10 03:00:00,2023-01-10,3,1,4.1389465
2023-01-10 06:00:00,2023-01-10,6,1,4.826874
2023-01-10 09:00:00,2023-01-10,9,1,7.1510925
2023-01-10 12:00:00,2023-01-10,12,1,9.485779
2023-01-10 15:00:00,2023-01-10,15,1,11.86319
2023-01-10 18:00:00,2023-01-10,18,1,11.976349
2023-01-10 21:00:00,2023-01-10,21,1,12.121033
2023-01-11 00:00:00,2023-01-11,0,1,10.420441
2023-01-11 03:00:00,2023-01-11,3,1,8.758667
2023-01-11 06:00:00,2023-01-11,6,1,7.2517395
2023-01-11 09:00:00,2023-01-11,9,1,7.1502075
2023-01-11 12:00:00,2023-01-11,12,1,9.297638
2023-01-11 15:00:00,2023-01-11,15,1,8.553772
2023-01-11 18:00:00,2023-01-11,18,1,8.105072
2023-01-11 21:00:00,2023-01-11,21,1,9.088257
2023-01-12 00:00:00,2023-01-12,0,1,9.697571
2023-01-12 03:00:00,2023-01-12,3,1,10.789734
2023-01-12 06:00:00,2023-01-12,6,1,11.190033
2023-01-12 09:00:00,2023-01-12,9,1,11.169159
2023-01-12 12:00:00,2023-01-12,12,1,11.4322815
2023-01-12 15:00:00,2023-01-12,15,1,11.79541
2023-01-12 18:00:00,2023-01-12,18,1,9.217438
2023-01-12 21:00:00,2023-01-12,21,1,7.7955627
2023-01-13 00:00:00,2023-01-13,0,1,7.54953
2023-01-13 03:00:00,2023-01-13,3,1,7.3391724
2023-01-13 06:00:00,2023-01-13,6,1,7.467163
2023-01-13 09:00:00,2023-01-13,9,1,7.801544
2023-01-13 12:00:00,2023-01-13,12,1,9.373993
2023-01-13 15:00:00,2023-01-13,15,1,9.818573
2023-01-13 18:00:00,2023-01-13,18,1,7.5398254
2023-01-13 21:00:00,2023-01-13,21,1,5.932953
2023-01-14 00:00:00,2023-01-14,0,1,6.5716248
2023-01-14 03:00:00,2023-01-14,3,1,8.385498
2023-01-14 06:00:00,2023-01-14,6,1,9.336334
