valid_time,date,hour,month,t2m_C
2023-01-01 00:00:00,2023-01-01,0,1,8.114014
2023-01-01 03:00:00,2023-01-01,3,1,6.111786
2023-01-01 06:00:00,2023-01-01,6,1,4.571411
2023-01-01 09:00:00,2023-01-01,9,1,6.110138
2023-01-01 12:00:00,2023-01-01,12,1,12.217499
2023-01-01 15:00:00,2023-01-01,15,1,14.739166
2023-01-01 18:00:00,2023-01-01,18,1,11.146301
2023-01-01 21:00:00,2023-01-01,21,1,9.401245
2023-01-02 00:00:00,2023-01-02,0,1,8.878174
2023-01-02 03:00:00,2023-01-02,3,1,8.279999
2023-01-02 06:00:00,2023-01-02,6,1,8.39267
2023-01-02 09:00:00,2023-01-02,9,1,8.463593
2023-01-02 12:00:00,2023-01-02,12,1,11.6388855
2023-01-02 15:00:00,2023-01-02,15,1,11.99295
2023-01-02 18:00:00,2023-01-02,18,1,10.369659
2023-01-02 21:00:00,2023-01-02,21,1,6.781891
2023-01-03 00:00:00,2023-01-03,0,1,5.478119
2023-01-03 03:00:00,2023-01-03,3,1,3.9497986
2023-01-03 06:00:00,2023-01-03,6,1,3.7769165
2023-01-03 09:00:00,2023-01-03,9,1,4.5126038
2023-01-03 12:00:00,2023-01-03,12,1,10.063263
2023-01-03 15:00:00,2023-01-03,15,1,11.833099
2023-01-03 18:00:00,2023-01-03,18,1,9.523651
2023-01-03 21:00:00,2023-01-03,21,1,3.6177673
2023-01-04 00:00:00,2023-01-04,0,1,0.9897156
2023-01-04 03:00:00,2023-01-04,3,1,-0.016448975
2023-01-04 06:00:00,2023-01-04,6,1,-0.6123352
2023-01-04 09:00:00,2023-01-04,9,1,1.3387451
2023-01-04 12:00:00,2023-01-04,12,1,8.81958
2023-01-04 15:00:00,2023-01-04,15,1,12.285126
2023-01-04 18:00:00,2023-01-04,18,1,9.301117
2023-01-04 21:00:00,2023-01-04,21,1,2.4056091
2023-01-05 00:00:00,2023-01-05,0,1,0.8623352
2023-01-05 03:00:00,2023-01-05,3,1,0.043426514
2023-01-05 06:00:00,2023-01-05,6,1,-0.34942627
2023-01-05 09:00:00,2023-01-05,9,1,3.1440125
2023-01-05 12:00:00,2023-01-05,12,1,9.665619
2023-01-05 15:00:00,2023-01-05,15,1,12.451019
2023-01-05 18:00:00,2023-01-05,18,1,6.1128235
2023-01-05 21:00:00,2023-01-05,21,1,5.7078247
2023-01-06 00:00:00,2023-01-06,0,1,2.031128
2023-01-06 03:00:00,2023-01-06,3,1,0.3399353
2023-01-06 06:00:00,2023-01-06,6,1,-0.95474243
2023-01-06 09:00:00,2023-01-06,9,1,1.7480164
2023-01-06 12:00:00,2023-01-06,12,1,7.662842
2023-01-06 15:00:00,2023-01-06,15,1,10.434235
2023-01-06 18:00:00,2023-01-06,18,1,4.1438904
2023-01-06 21:00:00,2023-01-06,21,1,4.1857605
2023-01-07 00:00:00,2023-01-07,0,1,2.3242188
2023-01-07 03:00:00,2023-01-07,3,1,1.6060486
2023-01-07 06:00:00,2023-01-07,6,1,0.9538269
2023-01-07 09:00:00,2023-01-07,9,1,2.421112
2023-01-07 12:00:00,2023-01-07,12,1,5.7702026
2023-01-07 15:00:00,2023-01-07,15,1,7.111969
2023-01-07 18:00:00,2023-01-07,18,1,7.854004
2023-01-07 21:00:00,2023-01-07,21,1,8.55777
2023-01-08 00:00:00,2023-01-08,0,1,8.726196
2023-01-08 03:00:00,2023-01-08,3,1,9.408722
2023-01-08 06:00:00,2023-01-08,6,1,9.521149
2023-01-08 09:00:00,2023-01-08,9,1,10.391083
2023-01-08 12:00:00,2023-01-08,12,1,12.766785
2023-01-08 15:00:00,2023-01-08,15,1,13.172852
2023-01-08 18:00:00,2023-01-08,18,1,12.270172
2023-01-08 21:00:00,2023-01-08,21,1,12.02536
2023-01-09 00:00:00,2023-01-09,0,1,12.365814
2023-01-09 03:00:00,2023-01-09,3,1,11.344391
2023-01-09 06:00:00,2023-01-09,6,1,10.835907
2023-01-09 09:00:00,2023-01-09,9,1,10.591949
2023-01-09 12:00:00,2023-01-09,12,1,12.454834
2023-01-09 15:00:00,2023-01-09,15,1,13.282806
2023-01-09 18:00:00,2023-01-09,18,1,11.362671
2023-01-09 21:00:00,2023-01-09,21,1,4.7846375
2023-01-10 00:00:00,2023-01-10,0,1,2.757965
2023-01-10 03:00:00,2023-01-10,3,1,1.6701965
2023-01-10 06:00:00,2023-01-10,6,1,0.93429565
2023-01-10 09:00:00,2023-01-10,9,1,3.1178894
2023-01-10 12:00:00,2023-01-10,12,1,9.792419
2023-01-10 15:00:00,2023-01-10,15,1,11.785065
2023-01-10 18:00:00,2023-01-10,18,1,7.993927
2023-01-10 21:00:00,2023-01-10,21,1,7.5702515
2023-01-11 00:00:00,2023-01-11,0,1,6.160675
2023-01-11 03:00:00,2023-01-11,3,1,5.8289795
2023-01-11 06:00:00,2023-01-11,6,1,5.7556458
2023-01-11 09:00:00,2023-01-11,9,1,6.3064575
2023-01-11 12:00:00,2023-01-11,12,1,8.446075
2023-01-11 15:00:00,2023-01-11,15,1,10.672913
2023-01-11 18:00:00,2023-01-11,18,1,8.993744
2023-01-11 21:00:00,2023-01-11,21,1,4.234741
2023-01-12 00:00:00,2023-01-12,0,1,3.6585083
2023-01-12 03:00:00,2023-01-12,3,1,2.8483276
2023-01-12 06:00:00,2023-01-12,6,1,1.9732361
2023-01-12 09:00:00,2023-01-12,9,1,1.9113464
2023-01-12 12:00:00,2023-01-12,12,1,7.6959534
2023-01-12 15:00:00,2023-01-12,15,1,10.510254
2023-01-12 18:00:00,2023-01-12,18,1,5.3697815
2023-01-12 21:00:00,2023-01-12,21,1,4.549469
2023-01-13 00:00:00,2023-01-13,0,1,3.5260925
2023-01-13 03:00:00,2023-01-13,3,1,1.6184692
2023-01-13 06:00:00,2023-01-13,6,1,1.5511475
2023-01-13 09:00:00,2023-01-13,9,1,3.5222473
2023-01-13 12:00:00,2023-01-13,12,1,8.110321
2023-01-13 15:00:00,2023-01-13,15,1,10.853729
2023-01-13 18:00:00,2023-01-13,18,1,5.7468567
2023-01-13 21:00:00,2023-01-13,21,1,4.530609
2023-01-14 00:00:00,2023-01-14,0,1,2.778656
2023-01-14 03:00:00,2023-01-14,3,1,0.6335449
2023-01-14 06:00:00,2023-01-14,6,1,-0.1812439
